,Pzero_mode,beta_HDI68_left,beta_HDI68_right,beta_HDI95_left,beta_HDI95_right,beta_mode,beta_p16,beta_p50,beta_p84,delta_HDI68_left,delta_HDI68_right,delta_HDI95_left,delta_HDI95_right,delta_mode,delta_p16,delta_p50,delta_p84,model_HDI0.68_left_tp1,model_HDI0.68_left_tp2,model_HDI0.68_left_tp3,model_HDI0.68_left_tp4,model_HDI0.68_left_tp5,model_HDI0.68_left_tp6,model_HDI0.68_right_tp1,model_HDI0.68_right_tp2,model_HDI0.68_right_tp3,model_HDI0.68_right_tp4,model_HDI0.68_right_tp5,model_HDI0.68_right_tp6,model_HDI0.95_left_tp1,model_HDI0.95_left_tp2,model_HDI0.95_left_tp3,model_HDI0.95_left_tp4,model_HDI0.95_left_tp5,model_HDI0.95_left_tp6,model_HDI0.95_right_tp1,model_HDI0.95_right_tp2,model_HDI0.95_right_tp3,model_HDI0.95_right_tp4,model_HDI0.95_right_tp5,model_HDI0.95_right_tp6,pp_pval,"protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6"
A1cf,65574.10086886832,20.78635647618675,76.28640015987881,8.307211756112412,123.5710521026916,51.67154547821411,18.083554921676768,38.25884945639279,68.33763760734031,0.0040995823451953845,0.01549804836564511,0.0018814366017101418,0.026384716173962784,0.010013211487820037,0.0035440430992322736,0.007305118716027675,0.01383657651235978,48179.23324483606,67058.46591013903,81995.95079559348,87803.96425495361,85384.43917099395,77094.97484858742,95777.26822182297,95804.22475140443,99964.710103805,100816.45717359694,97542.73931128014,92956.44744148242,21836.60754750191,54311.799238665895,74365.99905120002,81955.7168548185,79533.16859414357,68901.51329341755,118342.49160295245,112825.01330237126,109415.67860214716,107965.72760420649,104020.04760103619,100629.13007695244,0.2655,0.7745434077492276,0.9446659061291929,1.0691275744642994,1.1289743374380843,1.0881065338322773,0.994582240386919,65574.10086886832,79976.94744560088,90514.07410894772,95580.79810744157,92120.86358456723,84202.94524620452
Aadac,287286.1715068854,270.4779443628856,340.11102484580294,238.15023936257862,375.83756762256724,312.0344001627915,268.13528444400396,301.7017013097924,337.4844915688711,0.004506709725903675,0.0077284503216081,0.0030694188595713407,0.00939219675069462,0.006162989038853878,0.004164476106139515,0.005691359350446134,0.007282903879460583,230426.52852943874,804692.105323148,1099465.802847902,1179906.5910652129,1153969.6555496093,1058666.3657048834,356449.5353166173,903084.009836672,1196571.056703318,1251959.1224559406,1212979.6676802773,1144171.509581693,164703.47699764973,755037.7225411353,1049941.682914835,1140999.134144592,1127775.055418285,1012325.4427209824,422040.7545633605,947656.493739735,1239591.9534359241,1283770.0626852405,1240688.6176580947,1175871.1782273934,0.5760000000000001,0.29745736079532836,0.8929318325642922,1.1951434555299683,1.2652645012532269,1.2257644969501864,1.123438352906998,287286.1715068854,862399.1247287754,1154276.9922475102,1222000.3348941065,1183850.9847473,1085023.7575822717
Aak1,21088.44094245296,10.481794536411012,18.33194010953468,8.028733562157447,23.8676678760073,15.357975219555831,10.410701955328204,13.676975536332202,18.25046422237205,0.002287154282747548,0.007407754334598209,0.001132080231590083,0.011232488006226836,0.005006453819250955,0.002059718799411809,0.0038908347520194226,0.006765706630288747,19134.75416979074,23835.46028312707,28072.12517333404,31181.867365685404,32087.76699514239,30719.776768698903,23251.829087259466,26822.538803441344,30245.474308240788,32778.874536472285,33095.37336037865,32887.05944483752,17547.175809122684,22781.896221396983,27257.83834867649,30569.44104265408,31650.138915366424,29188.39385526917,25836.86964932473,28700.348258270897,31735.432943302545,33947.28245660113,33610.44296339029,33672.897030305394,0.1325,0.7351614435134444,0.8830825466395981,1.0242474461032698,1.125562740031855,1.1372014262877717,1.0947443974240605,21088.44094245296,25331.62517761931,29381.004632640346,32287.279997639358,32621.141015407964,31403.24179927746
Aamdc,146744.83395976687,25.395875736213966,45.69685183046128,17.93986856611449,60.78694162786509,37.410247177770074,24.689963123517376,34.24705652830294,44.83442128148682,0.002166734925714373,0.006987067428317655,0.001017710846008153,0.010180852320213565,0.0042327075253246575,0.00185848000405707,0.003638650293020669,0.006190513469397561,91659.22364593562,235012.68890863372,348933.17417801573,403301.3866318883,422078.53521908936,403517.868897796,248331.0546486888,334133.5919742458,419296.5613682079,462451.83853843523,475215.2936790283,456246.9571662805,11163.337336597382,188768.5990501646,316954.4642646597,377671.2422913111,396525.72727106727,377198.40864373295,307490.7547948821,384627.4726462819,459668.4891564811,503202.2635117805,503310.2807105252,482127.4745054251,0.522,0.41337342241127834,0.7813179347294934,1.0722799383263482,1.2421503190022243,1.2729209940646018,1.2179573914660533,146744.83395976687,277362.70496750565,380652.2939724339,440955.15684532217,451878.5432026724,432366.8274031746
Aars,194415.02540926947,27.262557472598665,236.99695573643598,5.942761434150375,450.8890923121911,133.33187862592203,19.338298722250137,67.86938284214551,183.90504160549756,0.005088203586348504,0.015643014277817502,0.0027955324492385373,0.028874889593706717,0.012059236983242419,0.005049372322515651,0.008859825483649593,0.015554489879409623,174214.16574592714,174306.07357063214,158066.40139889074,138958.12717827313,114738.1027031318,96988.7538495684,220920.86440635566,212254.94285769132,192321.71566201726,175676.6872290661,157535.51060620527,144237.8541904072,145746.46644388814,153962.67397521238,140170.06331898755,119282.95732078346,97694.86451049443,73041.81447628647,242359.6233803464,231471.6180081969,211442.299186308,194342.0851530536,182553.05569736593,167360.08926852705,0.8005,1.1735077926685948,1.2018758919914603,1.0910814927219827,0.9680062439901755,0.8429382322130892,0.7225903464146974,194415.02540926947,199114.76816779503,180759.4610418003,160369.58569633358,139649.5693151592,119711.53616223088
Abat,22467.67986443984,50.878014554450395,83.79989542017496,39.752642263185635,108.19306264234231,71.54954183385746,50.94940715862627,65.45107555834159,84.04769844583315,0.003828064944838681,0.012463831399007112,0.0017117916376263814,0.017736158658218922,0.00818239288096481,0.0032741189959638295,0.006557628805017636,0.01105677539509118,13949.474179319954,51671.038071104645,69434.66304371918,81424.38383726178,75624.35362167373,66653.93123762889,32106.2912354379,66096.38316634597,84241.46105951144,95235.48186715461,88624.1218854879,84282.59207777964,5526.833635350315,44501.76747970348,64581.082854614695,75071.06101363579,69456.13246838129,56207.333026024724,40362.64113551774,71593.49915342181,93629.61447192832,101916.24784134462,94578.54268660699,90398.87326507851,0.6559999999999999,0.33239847965228564,0.8707421614220839,1.1745651965246962,1.3355005464629817,1.2219213849970667,1.0648722309408858,22467.67986443984,58855.732877499206,79391.92394332083,90269.9638340792,82592.85218857125,71977.49040952076
Abcb10,4036.749864080772,50.320014667882134,72.11845417563404,42.492235928868226,85.33334601330215,66.87744575187838,50.48240581379961,60.55348077414896,72.42328812286401,0.0038107139550111616,0.011083566757319672,0.0018026027106413096,0.01524326702283363,0.007467372221161043,0.003229227564185142,0.006055427471489531,0.009817170747740972,163.35341492257612,29854.329784698988,47903.55205793709,62012.463433649515,65670.29383016376,62409.13114430225,8572.58156353322,37556.75600505989,57558.543648003186,73388.788610083,77312.33457620001,75967.76169518087,98.405047549174,27037.399747973228,44340.69860027764,57155.848663809455,60997.12103449655,55586.35078602449,14645.536981249785,41375.63670377931,62840.623723489785,79263.62760264736,84147.08435299383,82844.99137141884,0.5585,0.07946791412591865,0.6685783662219931,1.0715914851294717,1.3776349056920607,1.4488246272962888,1.3539027015342673,4036.749864080772,33961.92864327023,54433.878497078294,69980.03633886202,73596.27695837122,68774.50612000524
Abcb1a,29529.658221959762,282.40005418633046,435.2267430031825,237.8095830965033,574.9234624388072,377.45587989776493,292.1818475820402,357.9853531082026,454.20268878292313,0.004156907854268147,0.016204290064619705,0.0017897426163888488,0.02586316769553684,0.008819150980408098,0.003538047814056993,0.00762846105101407,0.014319481707967196,26353.170993160416,265527.76002521603,397542.56847317173,495612.54737998743,579591.4133024678,601768.4548861738,32238.63192682168,361057.32882148755,511639.0624760164,625799.7772645402,741753.522941583,803155.7015554156,24250.67898632725,219486.37141769327,350325.8604383528,435292.7457362139,485145.2208637296,482907.7706575983,35611.755474407015,418711.419639309,578261.6177697546,698777.9010723003,811900.7892108633,887350.7964692848,0.6890000000000001,0.06397623299036188,0.7056752412774642,1.0136358388434257,1.2490632394346368,1.4529248794824297,1.5147245679716823,29529.658221959762,325720.1575741703,467866.24475194083,576533.0159979161,670629.9059490082,699154.931478194
Abcb7,46790.05892977875,49.19794293584925,109.91253799695285,32.33054708504032,162.6560904612614,83.39181233300457,48.72538661462414,73.72185045806691,109.15333127462642,0.004756547291007909,0.02016265724698653,0.001888574212201481,0.032306401894810925,0.01104512861629609,0.003982284591972529,0.0089697766067004,0.017445695643451272,29008.881216518213,75902.06716245356,99450.86866644736,114719.12506681404,112204.04251808557,99908.53051835082,66028.44699687518,100470.06638929881,126616.92503479123,146620.0050188444,148773.40307853118,145014.42104089973,14193.195215332824,64345.09057456852,87455.70986014523,95106.25948515508,92887.44002890954,82100.55400870368,84325.45606716817,114090.78461813199,140363.0964192044,157455.01540971705,165659.93964763734,168845.47960062398,0.8145,0.4342561493453694,0.8268507002830885,1.0804485914666344,1.2312417755474139,1.254469232825887,1.1727335505316068,46790.05892977875,89091.18051798773,116415.74527276028,132663.3493193232,135166.05215148118,126359.22835179459
Abcb8,40450.481129569846,76.7891432795339,171.55267055514355,40.074640589006385,219.68371511723444,127.56913628145077,67.70650231503267,108.0912217980622,156.05017275280767,0.006258771931786127,0.018203221239316177,0.0030046074887332378,0.02722505934727644,0.012950450043782478,0.005565349244455214,0.010355139292703557,0.016821602792704646,30162.962168671333,66543.62695490723,77727.4483485812,79130.81539491356,73333.24882789725,61713.73710350957,59365.68522159682,81102.72031059039,90045.539193815,91672.46650645034,89049.30481883221,83140.67966549718,20750.41578668619,60090.31036587938,71907.80073592292,72654.51452505,66562.75605604111,50014.20046255703,76285.45190950492,90222.24751295512,97286.4061413444,98196.84320272693,97835.42129693278,91604.81465282707,0.5745,0.555436453432299,1.0212698501704804,1.1731227363585182,1.189522167078298,1.1083360255604533,0.9523127673999512,40450.481129569846,74375.4871457225,85434.39815032519,86628.71094482562,80716.21012649313,69353.5856156324
