Gene_name	mRNA_peak_zone	mRNA_center_of_mass_0_1_scaled	Proteim_coefficient_of_variation_mean	Proteim_coefficient_of_variation_median
A1cf	3	0.446078431372549	0.258407667152691	0.203495498206988
Aadac	2	0.269674185463659	0.113481861689476	0.109103322470531
Aak1	3	0.448447204968944	0.137126552438044	0.127183729365037
Aamdc	2	0.345325022261799	0.290928114893836	0.263487836655205
Aars	1	0.385263157894737	0.249724857053504	0.238891270623109
Abat	1	0.26241134751773	0.245215775553307	0.21963281984505
Abcb10	3	0.384810126582278	0.294568449247595	0.168386594886635
Abcb1a	5	0.500884955752212	0.279586146501357	0.268085747356457
Abcb7	3	0.44078431372549	0.307112745380003	0.273294243154236
Abcb8	1	0.34	0.219942326962682	0.20416956854152
Abcc2	4	0.497071129707113	0.47303552518594	0.40961248135073
Abcc3	2	0.310204081632653	0.202555664611973	0.216690811862681
Abcd1	4	0.501398601398601	0.114286617833796	0.0758656609642719
Abcd3	2	0.358504672897196	0.120624064253248	0.113846667708381
Abce1	1	0.2	0.233601530478356	0.224844050874896
Abcf1	1	0.416119402985075	0.152444037797942	0.13011927439389
Abcf2	2	0.258333333333333	0.115684404723585	0.0709289285475396
Abcf3	2	0.442253521126761	0.973205080756888	1
Abcg2	2	0.48798751950078	0.306931205529513	0.153586029364173
Abcg5	5	0.524128312412831	0.347472232783652	0.373419424452328
Abcg8	3	0.469654289372599	0.49101288371456	0.39639945191601
Abhd12	3	0.429940119760479	0.319668538145127	0.266573247040524
Abhd14b	2	0.340828402366864	0.179940563157858	0.200745793636341
Abhd2	6	0.822494780793319	0.724863920469822	0.730035871133275
Abhd3	2	0.396677740863787	0.174542045006954	0.120643456502705
Abhd6	2	0.490610328638498	0.214776529691551	0.168231113284321
Abi1	6	0.566820276497696	0.201487147411446	0.218072838623943
Ablim1	4	0.521863799283154	0.672759332955494	0.721658280969205
Abr	5	0.505166475315729	0.598256853981784	0.517150921339913
Acaa1a	2	0.440078201368524	0.111250749253365	0.0880031669351455
Acaa1b	3	0.416918429003021	1	1
Acaa2	2	0.275739644970414	0.0613706907414153	0.0583865207799176
Acad10	3	0.338461538461538	0.210021141447439	0.214696737174767
Acad8	2	0.414035087719298	0.201547448445944	0.199838456946805
Acad9	1	0.252631578947368	0.0986814995890503	0.0809634801169676
Acadl	2	0.377319587628866	0.169782831670793	0.151603731445918
Acadm	2	0.413461538461538	0.0530507898133676	0.0499015153296509
Acads	1	0.361269841269841	0.0830981744276608	0.0751652206285037
Acadvl	1	0.475354107648725	0.0591101139531217	0.0539938495328211
Acat1	1	0.437837837837838	0.0723882173351217	0.0743747848829764
Acat2	1	0.321052631578947	0.367989550790788	0.328628973490541
Acbd3	1	0.502097902097902	0.168689179982442	0.189429160776605
Acbd5	3	0.474320241691843	0.136323794710917	0.124086338476139
Ace	3	0.450782881002088	0.304293976754821	0.254097600905046
Ace2	4	0.579399910434393	0.18989636741016	0.14515394646733
Acin1	1	0.426178010471204	0.0959676916813263	0.0972717238673811
Acly	1	0.362790697674419	0.535412275720796	0.528652225089159
Acnat1	1	0.311764705882353	0.201046802428743	0.128968127057306
Aco1	2	0.364521739130435	0.175363396207628	0.159275222259009
Aco2	2	0.339135802469136	0.0688979339538695	0.0664800938138894
Acot11	3	0.371241830065359	0.973205080756888	1
Acot12	5	0.607311827956989	1	1
Acot13	1	0.288641425389755	0.196038944751769	0.209570594504558
Acot4	3	0.445161290322581	0.24363299016476	0.122830110394402
Acot8	3	0.420444444444445	0.0982944812043839	0.0810945905765161
Acot9	3	0.549411764705882	0.477915813060687	0.464023192052142
Acox1	3	0.475670919489661	0.152386327759537	0.130426487731532
Acox3	2	0.463076923076923	0.211977926152991	0.139413595009816
Acp1	1	0.430824372759857	0.489082276456241	0.538085003178094
Acp6	1	0.340909090909091	0.1191683368956	0.100962694582289
Acsf2	5	0.653435114503817	0.146812549792276	0.1457821524382
Acsl1	4	0.417272727272727	0.552488071558999	0.447791718332632
Acsl5	4	0.480597579425114	0.0597067238429729	0.0575418156956834
Acss1	1	0.286486486486486	0.227400924142486	0.222338906676252
Acss2	1	0.305882352941177	0.849842545569865	0.933012701892219
Acta1	5	0.645161290322581	0.397976737789695	0.386606587028087
Actg1	6	0.580369875222816	1	1
Actl6a	1	0.383870967741935	0.152100042061714	0.130276794476415
Actn1	1	0.228571428571429	0.128260728023461	0.127524927280379
Actn4	6	0.537234820775421	0.0879755828344315	0.078081344958354
Actr1a	5	0.507654320987654	0.180620958240496	0.122445583257974
Actr1b	1	0.446491228070175	0.464707143753379	0.402861004987721
Actr2	6	0.539878787878788	0.0609821672314498	0.0598506626515298
Actr3	2	0.485002649708532	0.117023537763912	0.0958640757906201
Acy1	2	0.291525423728814	0.135494454599144	0.148289712244559
Acy3	4	0.54635761589404	0.468672662734814	0.450903003280056
Ada	6	0.949482363719652	0.245209237842603	0.266534921157056
Adam10	3	0.454155495978552	0.154518994026902	0.170206701965988
Adck3	1	0.180645161290323	0.97767090063074	1
Adck5	3	0.477013752455796	0.397330253172566	0.306294441739451
Add1	1	0.365346534653465	0.101888151145118	0.107694503223187
Add3	1	0.106060606060606	0.187149713654543	0.139071259169312
Adh5	1	0.261538461538461	0.157303681132959	0.164148541813446
Adk	1	0.294972067039106	0.260529935343186	0.205535191563693
Adpgk	1	0.142857142857143	0.212462017501035	0.232809779038348
Adrm1	5	0.464948453608247	0.137062714832547	0.12127129487431
Adsl	1	0.251612903225806	0.170871911321116	0.127557397398713
Adss	6	0.55868544600939	0.227609156491069	0.162939272126967
Afg3l2	1	0.409433962264151	0.135368361653316	0.115008809651723
Agfg1	6	0.584615384615385	0.918046717043646	1
Agk	1	0.244444444444444	0.97767090063074	1
Agmat	1	0.21	1	1
Ago2	1	0.436533957845433	1	1
Agpat1	4	0.48695652173913	0.251053611501149	0.240071361706637
Agpat2	2	0.482796610169492	0.257427249007931	0.178979503851858
Agpat3	2	0.357622739018088	0.353406890050102	0.363574267550398
Agpat9	4	0.520588235294118	0.122019198745629	0.130597670456171
Agps	6	0.63841059602649	0.61218855690705	0.531303531690921
Ahctf1	3	0.557333333333333	0.749472057963109	0.691774728471453
Ahcy	3	0.368141592920354	0.121606315830041	0.116525457262122
Ahcyl1	3	0.465811965811966	0.385552664331353	0.290007688472183
Ahcyl2	1	0.375975975975976	0.146938325186897	0.152792237183682
Ahsa1	1	0.325974025974026	0.255038120664898	0.23044424698472
Aifm1	1	0.270491803278689	0.0927134467598493	0.100837784971831
Aifm3	1	NaN	1	1
Aimp1	1	0.312820512820513	0.109350815215426	0.0871585614802937
Aimp2	3	0.332142857142857	0.376049292244272	0.337205406192064
Ak2	1	0.373978123200921	0.0762760509052528	0.0578243690428828
Ak3	2	0.345420207743154	0.0799034098963454	0.0805441497499583
Akap1	1	0.251428571428571	0.467972933740198	0.417056377966992
Akap13	2	0.49622641509434	0.411904636938986	0.426966369382586
Akap7	1	0.305442176870748	1	1
Akap8	1	0.366666666666667	0.304924286059215	0.300915056390246
Akap9	6	0.517477477477478	0.973205080756888	1
Akr1a1	1	0.426975259377494	0.0878667160450681	0.0962997053816252
Akr1b7	3	0.374252873563218	0.293637036287031	0.29077610232124
Akr1c13	1	0.249149338374291	0.163293487018313	0.154024946467405
Alad	3	0.461096605744125	0.110261500156771	0.0971259579336583
Alb	6	1	0.0738708214146194	0.0766055084723968
Alcam	1	0.279591836734694	0.475311469869294	0.410004912463804
Aldh16a1	2	0.464406779661017	0.135997992164989	0.14586710676276
Aldh18a1	1	0.244859813084112	0.065363406111414	0.0625456783154391
Aldh1a1	2	0.28331346841478	0.232641384421767	0.198683649041942
Aldh1a7	2	0.316279069767442	1	1
Aldh1b1	1	0.223913043478261	0.0778613923167287	0.0805630695942251
Aldh1l1	2	0.364705882352941	0.130738611819219	0.127059542113025
Aldh3a2	2	0.449339207048458	0.0674754131534207	0.0651500672451451
Aldh3b1	4	0.5301775147929	0.866646825164756	1
Aldh5a1	1	0.23265306122449	0.0826267453422469	0.0814941496318326
Aldh6a1	2	0.306451612903226	0.118402327379598	0.121351489059063
Aldh9a1	1	0.353240740740741	0.0714411908862233	0.0767663234097246
Aldoa	1	0.319092904169715	0.0667554507207175	0.0553798762249045
Aldob	2	0.490333560245065	0.118297512463104	0.120633781105662
Alg2	1	0.304761904761905	0.97767090063074	1
Alyref	1	0.353623188405797	0.126172573042987	0.122245437682882
Amacr	1	0.292537313432836	0.164988067153316	0.104100500282602
Amdhd2	3	0.386363636363636	0.250092076107265	0.220160359203509
Amfr	1	0.413793103448276	0.651202072388877	0.613882586990213
Amot	1	0.387878787878788	0.97767090063074	1
Angel2	1	0.493906810035842	1	1
Ank3	5	0.463636363636364	0.25695531680277	0.189585997834426
Ankfy1	3	0.513513513513513	0.176123269800123	0.157675656995195
Ankrd17	1	0.457651245551601	0.779260057019938	0.751634884568079
Anks4b	6	0.577116704805492	0.235640325729939	0.205242987469785
Ano10	2	0.430612244897959	0.97767090063074	1
Ano6	3	0.387091875474563	0.171557528824982	0.116349078477766
Anp32a	1	0.318954248366013	0.177532953857221	0.165529685760249
Anp32b	1	0.346575342465753	0.309579590759873	0.349141586889418
Anp32e	1	0.208510638297872	0.403624539566342	0.384918719272763
Anpep	2	0.392685629848541	0.0940907483548199	0.0691917008463783
Anxa11	6	0.509452736318408	0.0986114663431038	0.100138906542329
Anxa13	1	0.261428571428571	0.121847029505754	0.128914007318994
Anxa2	6	0.650030309153364	0.0956325813024931	0.0948153256507082
Anxa4	5	0.508728179551122	0.129668672186935	0.141532561438897
Anxa7	6	0.623357664233577	0.144226335020388	0.102461034082664
Aoc1	3	0.478270154831821	0.136631830227072	0.122008470726323
Ap1b1	3	0.414754098360656	0.152885467036031	0.160632093627783
Ap1g1	3	0.411594202898551	0.249559317662821	0.276176007318181
Ap1g2	2	0.484967320261438	0.234429066320715	0.211800369041062
Ap1m2	1	0.371282051282051	0.191397864592357	0.169688037505844
Ap1s1	1	0.368955223880597	0.156204425264327	0.123434324727661
Ap2a1	3	0.443636363636364	0.301683981501938	0.296894813685071
Ap2a2	3	0.435897435897436	0.132178915354339	0.0931383176807654
Ap2b1	3	0.458536585365854	0.149287462738667	0.126208461056582
Ap2m1	2	0.397685185185185	0.13731274060054	0.129894907034723
Ap2s1	2	0.425201072386059	1	1
Ap3b1	4	0.473873873873874	0.151467243080707	0.138059357073241
Ap3d1	5	0.511801242236025	0.398124155464534	0.334734725146445
Ap3m1	1	0.371223021582734	0.973205080756888	1
Ap3s1	1	0.392777085927771	0.0811981428895258	0.0667661744425373
Apaf1	3	0.515867158671587	0.186011677443226	0.166542112785337
Apeh	3	0.507826086956522	0.147563705962642	0.136732342721707
Apex1	1	0.32	0.554720213716091	0.524461858761447
Api5	1	0.324848484848485	0.184300536528557	0.154526656630425
Apmap	1	0.306666666666667	0.0992978633268768	0.102007660130528
Apoa1	6	0.66189660205882	0.178059221785417	0.155414285207128
Apoa1bp	1	0.272093023255814	0.973205080756888	1
Apoa4	6	0.775521415099522	0.167195639955282	0.139539522144723
Apob	6	0.63492961634005	0.121817076306322	0.0898075419846458
Apoc3	6	0.712099422117153	0.658380141685993	0.718360492957754
Apoe	5	0.44	0.296734369624763	0.229863745443492
Apoo	1	0.312857142857143	0.099379924943894	0.0803130994818343
Apool	1	0.366037735849057	0.0697453821407468	0.061272302088468
App	4	0.546986301369863	0.137847429881388	0.120108821314753
Aprt	1	0.390614035087719	0.204917082144557	0.203057089162004
Aqp1	5	0.587777777777778	0.348577780418072	0.256556331348676
Aqr	1	0.334615384615385	0.641299099795224	0.58254849574832
Araf	1	0.387755102040816	0.47183164317629	0.396671286913257
Arcn1	6	0.546770025839793	0.117858901029137	0.112757322141303
Arf1	2	0.459745347698335	0.164858591057719	0.132787295882488
Arf4	6	0.572328597899938	0.0780208817162977	0.0802546412800577
Arf5	3	0.475163043478261	0.140099784383619	0.140013752274996
Arf6	6	0.572267206477733	0.298519692696309	0.21004481107309
Arfgap1	2	0.507913669064748	0.340931979304378	0.369730409377167
Arfgap2	4	0.484745762711864	0.351693534094039	0.353439164340616
Arfgap3	6	0.671750433275563	0.204468250308602	0.189236082746729
Arfgef1	2	0.45887573964497	0.692157511754915	0.671544163627862
Arfip2	1	0.398319327731092	0.875104871849278	1
Arg2	1	0.284662576687117	0.0857446847551333	0.0792668920861386
Arglu1	1	0.365591397849462	0.97767090063074	1
Arhgap1	2	0.410909090909091	0.144261809361037	0.116102302333413
