gene,beta_0,delta_0
A1cf,60.82431798,0.00935495
Aadac,274.99296,0.006355197
Aak1,18.4492033,0.004444323
Aamdc,55.48777467,0.004136954
Aars,132.5247668,0.011455244
Abat,64.53043947,0.008222977
Abcb10,104.7925949,0.007470079
Abcb1a,357.5144345,0.008750715
Abcb7,94.43814393,0.010390951
Abcb8,153.3673301,0.013819958
Abcc2,98.79242623,0.002483245
Abcc3,96.8770481,0.004393946
Abcd1,566.1005192,0.036386015
Abcd3,109.6633665,0.00802828
Abce1,112.5129582,0.003432383
Abcf1,82.04689497,0.007832865
Abcf2,223.8072104,0.01246746
Abcf3,75.36706949,0.009003775
Abcg2,110.663999,0.011216059
Abcg5,64.62290642,0.016814776
Abcg8,48.12207911,0.020234604
Abhd12,64.33794773,0.007438105
Abhd14b,187.4390391,0.004017249
Abhd2,101.1345431,0.007744985
Abhd3,256.0719589,0.016929777
Abhd6,225.3943398,0.018223594
Abi1,25.66802139,0.010541084
Ablim1,8.775721413,0.007499704
Abr,92.2986733,0.009862467
Acaa1a,437.6767804,0.022970313
Acaa1b,98.07000614,0.007362423
Acaa2,437.6253096,0.007623716
Acad10,4.934106528,0.001340575
Acad8,376.827741,0.005322926
Acad9,1585.724997,0.00184432
Acadl,337.2586939,0.009046277
Acadm,762.4096281,0.016954701
Acads,646.0670668,0.009701387
Acadvl,821.9150488,0.02131444
Acat1,2835.551059,0.019700338
Acat2,56.10837768,0.017874996
Acbd3,54.85033524,0.006460338
Acbd5,135.8406062,0.020314757
Ace,24.44569249,0.020732762
Ace2,86.21335627,0.026263413
Acin1,63.98931215,0.007833356
Acly,1546.136659,0.131464572
Acnat1,379.2416229,0.006857798
Aco1,157.2473516,0.014908047
Aco2,708.0048809,0.012361193
Acot11,84.55643933,0.008794437
Acot12,95.08690835,0.013571938
Acot13,484.4392974,0.008390074
Acot4,422.0710681,0.0144178
Acot8,714.4026893,0.016015517
Acot9,33.64714474,0.013595062
Acox1,248.942162,0.017158009
Acox3,139.9096618,0.010900252
Acp1,1480.024447,0.845850602
Acp6,310.2901897,0.005127589
Acsf2,605.8841654,0.03195091
Acsl1,3227.731812,0.042476986
Acsl5,760.8026529,0.020424546
Acss1,422.5039599,0.008041916
Acss2,65.769449,0.013364825
Acta1,3407.382379,0.007098088
Actg1,95.27380843,0.054516341
Actl6a,331.5233122,0.010835289
Actn1,49.7172822,0.008182402
Actn4,160.3857808,0.006347807
Actr1a,94.89587421,0.022955201
Actr1b,52.63312795,0.006066585
Actr2,460.5265613,0.0067604
Actr3,126.4392669,0.008946633
Acy1,268.7346306,0.003322429
Acy3,124.630021,0.01345709
Ada,238.2131615,0.005296601
Adam10,62.5766691,0.009842507
Adck3,67.03305835,0.014290459
Adck5,30.13405067,0.002330012
Add1,74.3294566,0.005513828
Add3,269.3539216,0.002835517
Adh5,338.424589,0.004638499
Adk,171.0517298,0.005334216
Adpgk,421.8505012,0.010446624
Adrm1,162.9765303,0.014650483
Adsl,64.87746923,0.004130703
Adss,62.75755085,0.003361564
Afg3l2,184.8170342,0.011031617
Agfg1,98.16994835,0.016087288
Agk,63.40900871,0.010263397
Agmat,96.39546432,0.031062572
Ago2,94.80896689,0.013717831
Agpat1,994.9262405,0.015128188
Agpat2,60.58748605,0.021226895
Agpat3,18.31318381,0.284343964
Agpat9,283.7479154,0.021523826
Agps,59.63188757,0.01214853
Ahctf1,17.64666553,0.035228685
Ahcy,195.5938395,0.003953039
Ahcyl1,48.43168425,0.001013512
Ahcyl2,58.49882262,0.010990252
Ahsa1,35.10881711,0.007584806
Aifm1,1238.960499,0.007944186
Aifm3,97.076806,0.007005689
Aimp1,54.03896257,0.003766908
Aimp2,483.8268773,0.013315821
Ak2,201.8802201,0.006038104
Ak3,378.3364621,0.004968592
Akap1,159.0715825,0.009536225
Akap13,72.81115522,0.007894801
Akap7,95.60149431,0.007582841
Akap8,66.24884754,0.00846018
Akap9,87.130767,0.000964614
Akr1a1,98.49767184,0.002481955
Akr1b7,206.4680508,0.007635608
Akr1c13,58.83248675,0.003701683
Alad,164.3922842,0.006798529
Alb,1244345.984,0.000210629
Alcam,126.8998381,0.007277772
Aldh16a1,474.924001,0.008575458
Aldh18a1,690.0477616,0.008177729
Aldh1a1,32.99068339,0.002617704
Aldh1a7,97.91864061,0.008041953
Aldh1b1,1928.073772,0.006854965
Aldh1l1,455.1115808,0.00409848
Aldh3a2,442.4910097,0.010328065
Aldh3b1,98.40929416,0.00826726
Aldh5a1,868.2135508,0.010433705
Aldh6a1,298.5105111,0.007094515
Aldh9a1,539.5438953,0.005421716
Aldoa,67.48341749,0.002691845
Aldob,785.0288584,0.013079923
Alg2,57.04421139,0.016555202
Alyref,222.9994959,0.007174757
Amacr,256.5339642,0.011347626
Amdhd2,53.2617738,0.003772558
Amfr,28.89150811,0.031333721
Amot,50.53180974,0.028434428
Angel2,99.15146428,0.007462758
Ank3,30.30537378,0.003910109
Ankfy1,17.83784085,0.011580632
Ankrd17,81.56470192,0.027497075
Anks4b,323.0829743,0.015221542
Ano10,81.30816294,0.008042202
Ano6,30.88155346,0.004970001
Anp32a,211.2998228,0.012183775
Anp32b,182.2351262,0.005101401
Anp32e,113.8147529,0.010089595
Anpep,320.2112001,0.008616534
Anxa11,110.243901,0.007097477
Anxa13,1691.124897,0.002748286
Anxa2,516.000027,0.007001432
Anxa4,202.0767973,0.005895493
Anxa7,564.8830436,0.011422466
Aoc1,31.94667133,0.019912487
Ap1b1,171.2368288,0.007040748
Ap1g1,76.92052621,0.009198278
Ap1g2,111.5922659,0.007383128
Ap1m2,149.3899983,0.026217514
Ap1s1,41.6492232,0.004726666
Ap2a1,89.25874888,0.00798716
Ap2a2,83.96140535,0.010042679
Ap2b1,135.3719803,0.012405392
Ap2m1,73.51325621,0.007539485
