,Pzero_mode,beta_HDI68_left,beta_HDI68_right,beta_HDI95_left,beta_HDI95_right,beta_mode,beta_p16,beta_p50,beta_p84,delta_HDI68_left,delta_HDI68_right,delta_HDI95_left,delta_HDI95_right,delta_mode,delta_p16,delta_p50,delta_p84,model_HDI0.68_left_tp1,model_HDI0.68_left_tp2,model_HDI0.68_left_tp3,model_HDI0.68_left_tp4,model_HDI0.68_left_tp5,model_HDI0.68_left_tp6,model_HDI0.68_right_tp1,model_HDI0.68_right_tp2,model_HDI0.68_right_tp3,model_HDI0.68_right_tp4,model_HDI0.68_right_tp5,model_HDI0.68_right_tp6,model_HDI0.95_left_tp1,model_HDI0.95_left_tp2,model_HDI0.95_left_tp3,model_HDI0.95_left_tp4,model_HDI0.95_left_tp5,model_HDI0.95_left_tp6,model_HDI0.95_right_tp1,model_HDI0.95_right_tp2,model_HDI0.95_right_tp3,model_HDI0.95_right_tp4,model_HDI0.95_right_tp5,model_HDI0.95_right_tp6,pp_pval,"protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6"
A1cf,62895.059320010674,21.067617567208405,75.57415865104429,7.831992395651036,118.48110929690196,47.79046318741763,16.96786531028057,36.974476627718204,64.46384188599656,0.004035107328191609,0.014463861374782823,0.0018238596462966166,0.023089274762105656,0.00899473669268688,0.003468928118360489,0.006951876166847963,0.012587769759469574,43639.30656133608,70394.83936848902,84243.97558104065,87826.91069846704,85263.91269146376,75731.52993916035,93854.97563533571,99285.95665973194,101967.82383923246,100696.7035747733,97481.04752426797,91720.93154107248,19526.426046916524,56847.798333829254,73827.38166941331,81547.48056417625,79288.1180325152,68873.23299451303,115659.59918838755,113543.66307709507,109504.4285583919,106686.57226275932,102582.14921949207,99432.9558239442,0.264,0.742396740082881,0.9595867649606462,1.079978670949364,1.129580581006162,1.0882053324286465,1.0002519105723005,62895.059320010674,81295.16637985123,91494.64013826806,95696.8610088229,92191.59411692826,84740.27410650467
Aadac,284512.63143248303,245.33819576466348,307.1296137395275,218.6149481521005,340.71212031388563,282.39427171638147,243.72621554811477,274.0644737648882,305.37648746251705,0.004111103987132601,0.0070819685944842874,0.002854573915233189,0.00886234507878582,0.0056506185270743204,0.003828782047068523,0.005236364233169962,0.006706351500109926,232656.91891379637,838898.8766241148,1105206.7808889078,1179436.8763495863,1150006.090735654,1053209.3920562607,354965.5602071464,939569.75310428,1203306.3771582146,1254516.7459425577,1208391.8083173404,1133567.3666009507,166124.59492616338,805257.5145780826,1065580.0685928632,1139546.4490414641,1119274.2986242962,1014393.0761581269,413676.4520309377,1008728.6642483481,1260702.0064814177,1281051.9182622724,1235994.752537496,1174787.9852000359,0.6425,0.2916842113917993,0.9288783618741703,1.200666112571181,1.2530120878095254,1.2105600890123007,1.115199137341023,284512.63143248303,906040.2198545074,1171145.5807958788,1222204.5362631532,1180796.2960648406,1087779.9645793585
Aak1,20976.94513813325,9.912961298250115,16.818046641509174,7.666366442399368,21.500296803198104,13.627584035787303,9.737702524398557,12.675776205476977,16.54922591474646,0.0020014349580561304,0.006405734171195685,0.00099966504571712,0.00952930506130937,0.004097001785926571,0.001817288875783,0.003448378136332827,0.005914022302795076,19258.88143596796,24533.460505084193,28565.980375985084,31373.68994928564,32094.830085561363,30905.25191779309,23471.578852766695,27308.886734148007,30690.554801739647,32901.552423019,33125.66183486209,32906.18100451484,17055.510345771425,23392.047526234728,27611.577696303306,30757.173352895115,31548.57803268951,29713.67652255153,25182.761424562137,28991.914083937885,31730.95903720368,33771.02170480678,33537.149632144574,33666.58016457417,0.111,0.7275042157243351,0.8981801591722453,1.029484110435713,1.1184005004355213,1.130174593896371,1.0962564203358138,20976.94513813325,25898.236073253513,29684.270191738353,32248.096207577677,32587.591852058016,31609.591105688338
Aamdc,139926.20198965585,24.917394668835733,44.15998131188357,17.379568571355804,56.38510031993319,36.032155759041366,23.735316890198874,32.732894520664544,42.62066749416199,0.0021507170931466617,0.006617636901610132,0.0010415158385936414,0.009495628980196175,0.004135892972389035,0.0018743841924305834,0.0035369306107996008,0.005928642047683807,88043.84915848357,244149.5791572451,358035.94020579953,407050.34925524687,419139.85961001064,400506.88100606843,244331.90487229923,341628.28523851396,427429.76190440136,467365.4371672026,470582.7062200477,453874.19459180295,22439.138754215262,211212.2190793667,327794.00341400394,377595.17933888367,394162.1468644763,376941.1701300083,313974.8534098907,388524.2792896568,462693.3634878619,497932.93104497384,498948.5374057277,481827.6547759706,0.503,0.3914904231921455,0.812127829046971,1.0906863099609292,1.2403123393034787,1.260901211236806,1.2044818872596699,139926.20198965585,290270.09580991225,389832.2509923592,443311.46980436053,450670.32836695673,430504.9775556294
Aars,193004.99539681023,24.912590374076395,201.07776885517794,6.5191533350073385,407.33584194742053,115.77684774034897,18.73914969440344,64.13160317777975,162.4784027594312,0.005070884486187472,0.014815943900480463,0.00281605041253973,0.026176732795487913,0.011672736299559216,0.005112797651877786,0.008838201666934626,0.014978590750739512,169775.14207348845,175229.5214754337,157133.2499852439,139834.36921957563,114920.34150696779,98044.31600837887,219475.94039649933,214397.53216492548,192103.84407821624,177173.73842667454,158269.87404911855,147347.62789486995,138244.8996364634,159488.80883798187,141955.20576947922,121041.94551668556,96283.81220762477,73990.65892963413,240305.3957751852,238508.8800312797,211636.12888324802,194419.23257925405,180667.05798842202,168227.89460695215,0.7875,1.1743195723230577,1.221129902650053,1.0983275070937004,0.9639795870965105,0.832536051043551,0.7097073797931273,193004.99539681023,200698.49536242223,180515.33879441538,158434.6204859111,136831.25146374956,116643.77636070951
Abat,21864.251648278092,47.721294965416256,77.53654573824285,37.0178044416216,96.27017152413379,65.31715953709379,47.22384114502168,60.10262716542544,76.83529012600341,0.00391315565950893,0.012274256901268255,0.0017319816448295498,0.01709343422193641,0.007462650431996633,0.0032106605097438836,0.006178716874958625,0.010446014622531785,11483.649085196914,53041.98234966202,71330.16098579801,80805.85387028099,76067.47493859487,65696.66701615005,29942.924650348614,67664.45052855625,86253.21443547784,94567.95480471864,88851.43367242439,82722.18517929995,3927.956898403809,46367.81343286773,65848.78078043058,74585.4666329039,68796.74718017901,57362.73459255196,40072.88627931428,75727.44059939322,94904.71615262778,101969.75903030577,94519.09790290623,90180.06649726223,0.6579999999999999,0.31918272327760566,0.9123367304641227,1.1826654124624638,1.314129328922394,1.2076905651013026,1.0639952397721102,21864.251648278092,62495.73804621521,81013.45188193073,90018.82699319006,82727.69327073001,72884.45764250927
Abcb10,2714.761789904313,46.46438675113782,63.74244253821999,39.922748841300596,75.03591899243844,60.05472653091622,46.26027917202223,54.307722347089644,63.53004099623323,0.0031075079747422464,0.009074414186161825,0.0015265615855144076,0.012921014611925873,0.0060323688450708715,0.0026399774822037344,0.004912554396352315,0.00795502793151079,39.34038024928304,32521.85919455908,49109.85002955025,61885.412561045145,65871.33334276112,61083.066719708564,7864.203845956308,39674.164974934974,57759.17807486479,72057.56259158849,77037.27936505374,74017.86140150906,39.34038024928304,28632.55002888399,45237.57816009866,56485.15032362541,59644.032912891846,54089.36598356954,14009.694030054425,42380.07040651065,62452.33071647385,76498.61468798199,81131.87366715536,79806.37347381022,0.4915,0.054091640816375706,0.703087002344959,1.0831831956826912,1.3617049720418835,1.4347874822178182,1.3631457068962733,2714.761789904313,35286.667221354,54363.00889980737,68341.51398311595,72009.39321808744,68413.82186420535
Abcb1a,29544.13063947935,260.4139260365501,385.18383772819436,223.89554985111144,496.2345673704891,336.21458588146135,267.77082418748887,321.59115256315084,399.35872692284664,0.0034857307536146722,0.013053075758674476,0.0016097784075431677,0.021642238829379667,0.007425418745173491,0.0031413318108892653,0.006474113480800926,0.012013602826061806,26770.06213671247,279003.29592826427,408948.56937855156,493301.8413263728,567424.670350129,561947.0571247602,32593.728606708,375283.9683629046,522827.6200054146,623407.1335541636,727349.4834818359,754546.1551226927,23671.26004379745,248622.87836862268,357951.67890206724,441406.55505417974,490987.65966946975,492599.96195615217,35176.77031631831,445655.5762922896,586606.1857445389,697262.7884137211,790764.3193815494,859824.0492098691,0.6605,0.06439726552253516,0.7566086681754576,1.0401697647667307,1.243600150011896,1.419238367820016,1.4759857837033648,29544.13063947935,347116.3744944399,477208.3281509962,570537.9723362696,651117.1461583717,677151.6843442179
Abcb7,42360.44485742532,47.71978841368347,100.22112251167091,30.18385307850778,140.84435613758524,74.13813991427772,44.88326552707747,66.76741118721851,95.02556073787238,0.004027281685349078,0.01602002118865271,0.0016567526917132531,0.026655076072555264,0.009378581715539232,0.003515510683341611,0.007673418242708287,0.014556675055421379,25009.19487832645,76035.21298790116,99647.56813109368,112183.45689032816,113671.83506321194,103853.4830493615,62332.4393705954,100867.83289149716,126504.77360213727,143360.73717871163,149936.44723766128,145903.34248749848,13490.640275811937,66446.58091060419,87653.5220584365,95210.4618639642,93824.89920268183,80839.44304723393,83535.421548288,113202.18168128592,141816.5146865045,157008.86002378448,164950.06517432275,163719.23831600187,0.7795,0.40041039252830357,0.8510274133987641,1.092126554325362,1.2274486146212034,1.2491939256003315,1.1797930995260357,42360.44485742532,90032.37800549198,115538.87597600067,129854.94463985278,132155.4369942659,124813.34517837438
Abcb8,38934.75109062301,66.87968399579383,144.86000203798739,37.6576041808923,189.06467332352895,110.16611651958259,59.435902681982284,93.47276263789306,132.78533056103456,0.005761192544674769,0.01630447014518822,0.002751149722478192,0.0239157165440002,0.011257251774240954,0.004967854293225402,0.009212546732667,0.0146301995087678,31626.607831794525,68805.50156684672,78585.94992132072,79169.65633080597,73326.35154960044,62911.557025119764,60913.532635332784,83586.61447096037,91181.15299302172,91353.82954955556,88238.8353316898,82189.559218211,13953.533515448516,62062.749910779276,72105.91854266367,72130.45751401299,63936.398982048624,52072.802640805974,72796.1740850752,91123.46503456504,96774.6545721716,96529.42809035485,93445.08544721734,90888.9624724193,0.551,0.5362793951360476,1.045547937636257,1.177291052904726,1.1803714111111945,1.1008585141230858,0.9596516890886891,38934.75109062301,75908.47061139601,85473.2337691896,85696.87275499919,79924.10788503622,69672.26409824175
