gene,"mRNA (scaled to molecules/cell), V1","mRNA (scaled to molecules/cell), V2","mRNA (scaled to molecules/cell), V3","mRNA (scaled to molecules/cell), V4","mRNA (scaled to molecules/cell), V5","mRNA (scaled to molecules/cell), V6","protein (scaled to molecules/cell), V1","protein (scaled to molecules/cell), V2","protein (scaled to molecules/cell), V3","protein (scaled to molecules/cell), V4","protein (scaled to molecules/cell), V5","protein (scaled to molecules/cell), V6","protein SEM (scaled to molecules/cell), V1","protein SEM (scaled to molecules/cell), V2","protein SEM (scaled to molecules/cell), V3","protein SEM (scaled to molecules/cell), V4","protein SEM (scaled to molecules/cell), V5","protein SEM (scaled to molecules/cell), V6","mRNA (mean-normalized), V1","mRNA (mean-normalized), V2","mRNA (mean-normalized), V3","mRNA (mean-normalized), V4","mRNA (mean-normalized), V5","mRNA (mean-normalized), V6","protein (mean-normalized), V1","protein (mean-normalized), V2","protein (mean-normalized), V3","protein (mean-normalized), V4","protein (mean-normalized), V5","protein (mean-normalized), V6","protein SEM (mean-normalized), V1","protein SEM (mean-normalized), V2","protein SEM (mean-normalized), V3","protein SEM (mean-normalized), V4","protein SEM (mean-normalized), V5","protein SEM (mean-normalized), V6","protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6",beta MAP (proteins/(mRNA*hour)),delta MAP (1/hour),half life MAP (hours),beta HDI68 lower bound (proteins/(mRNA*hour)),beta HDI68 upper bound (proteins/(mRNA*hour)),delta HDI68 lower bound (1/hour),delta HDI68 upper bound (1/hour),filter1_pval>0.05,filter2_confidence_intervals<4fold,filter_passed_both
A1cf,30.63256367463017,26.81988303000157,27.504519333764094,19.073646857330576,10.575900431077628,7.674872187830639,83752.18430468599,67364.28799520012,110733.12133259275,64239.56209194129,94848.56692426073,90316.85307417475,46667.17777133168,23905.59745719457,16471.780418577313,15798.189403413664,7837.048540067292,14546.868353099018,1.5030528258594544,1.3159754242459947,1.3495685815796883,0.9358896340791544,0.5189293719514766,0.37658416228423125,0.9829019234060051,0.7905762552828564,1.299545783147608,0.7539049836506271,1.1131272531711507,1.0599438013417526,0.5476783581488688,0.2805521780227956,0.19331011829425404,0.18540496441809046,0.09197431861400869,0.17071966543319136,0.742396740082881,0.9595867649606462,1.079978670949364,1.129580581006162,1.0882053324286465,1.0002519105723005,62895.059320010674,81295.16637985122,91494.64013826806,95696.86100882289,92191.59411692826,84740.27410650467,47.79046318741763,0.00899473669268688,77.06141983272336,21.06761756720841,75.57415865104429,0.00403510732819161,0.023089274762105656,True,True,True
Aadac,120.8093241550021,94.62864389830744,43.75718984917015,26.158144261481944,8.948838826296454,2.9518739183964,275098.53790634073,1050423.528729689,1132347.4796002891,1213319.27222402,1123931.8528497256,1108618.9156112971,64628.96260555839,159853.4082733776,159017.61991541664,42096.731849781136,87413.6006367871,45319.04118608137,2.4385068277471684,1.9100561637975508,0.8832282355402326,0.5279957803669084,0.18063013538867917,0.05958285715946014,0.2795840167297729,1.067550673532458,1.1508103935771097,1.2331024304444966,1.1422575501191699,1.1266949355969933,0.06568273717431425,0.16245981644668386,0.16161040056816595,0.042783118628442175,0.0888388784936609,0.04605796768523864,0.2916842113917993,0.9288783618741704,1.2006661125711808,1.2530120878095254,1.2105600890123007,1.1151991373410228,284512.63143248303,906040.2198545074,1171145.5807958788,1222204.5362631532,1180796.2960648406,1087779.9645793585,282.39427171638147,0.0056506185270743204,122.66748803494811,245.33819576466345,307.1296137395275,0.004111103987132601,0.00886234507878582,True,True,True
Aak1,23.74884150055597,20.241421154718164,25.00410848524009,14.98643681647403,8.54207342510116,4.132623485754959,23233.27720380033,23032.558664083506,20683.706251206117,32205.752254866078,32750.84210218348,35658.94868238901,2273.4218068720825,4910.245494371444,3237.320514690276,3017.9954421930915,522.0860748995813,8756.187932287972,1.4742362496390082,1.256509156869686,1.5521583702507888,0.9303000488362101,0.5302588882100782,0.25653728619422755,0.8319135402874648,0.8247264151345035,0.740621098899136,1.1531907935736303,1.1727088159636183,1.2768393361416466,0.08140437387852952,0.17582107238125416,0.11591867762765279,0.10806530868902142,0.018694326723457357,0.31353266430189775,0.7275042157243351,0.8981801591722453,1.029484110435713,1.1184005004355213,1.1301745938963708,1.0962564203358138,20976.94513813325,25898.236073253516,29684.270191738353,32248.09620757768,32587.591852058016,31609.591105688334,13.627584035787306,0.0040970017859265715,169.1840074224386,9.912961298250117,16.818046641509174,0.0020014349580561304,0.00952930506130937,True,True,True
Aamdc,215.804690157226,196.34178520076617,166.2773214268466,95.64071495604333,36.608886107576396,9.445996538868476,159659.34227631034,352261.43688898114,326232.27739858517,361001.0772484243,375271.96618649643,455500.7741784436,95945.3051883157,107929.25842665104,119613.35092628367,67153.62565055439,82779.750606663,29600.239224073997,1.7980742513468724,1.6359102676395423,1.385414608101044,0.7968738159378184,0.3050234702154329,0.0787035867592907,0.47191653346928364,1.041204315397099,0.9642680676292201,1.0670366952841392,1.1092181820744642,1.3463562061457945,0.28359239855042684,0.31901422597913937,0.353549733582688,0.1984907727607855,0.24467802754780965,0.08749154346578542,0.3914904231921455,0.8121278290469709,1.0906863099609292,1.2403123393034787,1.2609012112368059,1.20448188725967,139926.20198965585,290270.09580991225,389832.25099235924,443311.4698043605,450670.32836695673,430504.9775556294,36.032155759041366,0.004135892972389035,167.59311355186242,24.91739466883573,44.15998131188358,0.0021507170931466613,0.009495628980196177,True,True,True
Aars,27.19070258759307,12.650888221698851,7.501232545572027,7.3569780735417964,3.66088861075764,4.132623485754959,191894.83320172247,204038.2652783731,172449.82940665627,163762.56064862007,127387.10357087279,179133.2266398137,27985.316184826872,35966.1538416653,53073.63448045906,39053.144198841816,30484.797573240277,69986.54535141769,2.6105867383797294,1.2146152131927987,0.7201953734696126,0.7063454624413509,0.35148290954019373,0.3967743029763143,1.1085076435848622,1.1786558964154652,0.9961808290650117,0.9459975924479215,0.7358696200746976,1.034788418412042,0.1616611368916278,0.207763574342434,0.3065873557552871,0.2255960107322441,0.1760997446322634,0.40428717738633074,1.1743195723230575,1.2211299026500528,1.0983275070937004,0.9639795870965104,0.832536051043551,0.7097073797931273,193004.99539681023,200698.49536242225,180515.33879441535,158434.6204859111,136831.25146374956,116643.77636070953,115.77684774034896,0.011672736299559216,59.38172188350728,24.912590374076395,201.07776885517796,0.005070884486187472,0.026176732795487916,True,False,False
Abat,46.46512467500082,16.69917245264249,28.754724758026104,7.0844974041513575,1.6270616047811732,0.5903747836792798,21084.86097779567,75062.60511114384,80247.08211415874,76232.55829348235,84113.58765154572,90510.34102673926,9398.037621645788,24280.706320956608,13280.833910063862,14723.767547942298,8186.991873675074,22276.664781139898,2.7542789552008204,0.9898645398519349,1.7044726301193744,0.41994253205839654,0.09644613176460783,0.034995211004866376,0.2961003144556367,1.0541241415191258,1.1269311319231583,1.0705541054422278,1.1812294982567284,1.2710608084031225,0.1319791436123639,0.340980421185203,0.18650628529845373,0.2067697864125639,0.11497210585328548,0.31283713246507394,0.3191827232776057,0.9123367304641228,1.1826654124624638,1.314129328922394,1.2076905651013026,1.0639952397721102,21864.25164827809,62495.738046215214,81013.45188193073,90018.82699319006,82727.69327073001,72884.45764250928,65.31715953709379,0.007462650431996632,92.88217194095392,47.72129496541626,77.53654573824285,0.00391315565950893,0.017093434221936408,True,True,True
Abcb10,32.009308109445,19.229350096982262,22.50369763671608,15.803878824645338,6.101481017929399,2.361499134717119,7487.135669445605,30180.347677724247,48985.91604744169,88665.37849947988,70966.57741364477,69241.0588862032,6484.049691320509,5370.396386050774,13760.943760425462,14082.69547419861,10374.9712079088,9520.686921289593,1.9595693018104436,1.1771964584480819,1.3776478677813462,0.9674934456071278,0.3735249402277972,0.14456798612520297,0.1423741785024111,0.5739046809407301,0.9315083716065494,1.686046705014967,1.349489124609864,1.316676939325478,0.12329965542602841,0.10212260168018467,0.26167591316714134,0.2677942924716781,0.19728879880462472,0.18104386497615382,0.054091640816375706,0.7030870023449589,1.0831831956826912,1.3617049720418837,1.4347874822178182,1.3631457068962731,2714.761789904313,35286.667221354,54363.00889980737,68341.51398311595,72009.39321808744,68413.82186420535,60.05472653091621,0.0060323688450708715,114.9046416693046,46.464386751137816,63.74244253822,0.0031075079747422464,0.012921014611925873,True,True,True
Abcb1a,56.44652182740839,34.410415963020895,23.75390306097809,30.51783497172893,24.81268947291289,15.349744375661276,29653.132649392726,265174.3209097204,382936.7264104685,683815.9667514481,561191.3261607414,727502.7842210678,2952.869317461901,111119.29214591256,172179.7643204241,118363.62158083965,184022.41842298093,151508.0033031885,1.827821807341459,1.11426012906893,0.7691864904818391,0.9882126031561549,0.8034715594355748,0.4970474105160421,0.06713222053133823,0.6003325584868271,0.8669368282565846,1.548102348092001,1.2704903833783843,1.647005661254865,0.006685049993331285,0.2515648148823281,0.38980063408677557,0.2679653728597043,0.41661141581055694,0.34300149027326016,0.06439726552253516,0.7566086681754576,1.0401697647667307,1.243600150011896,1.4192383678200158,1.4759857837033648,29544.13063947935,347116.37449443986,477208.3281509962,570537.9723362696,651117.1461583717,677151.6843442179,336.2145858814613,0.00742541874517349,93.3478911220313,260.4139260365501,385.18383772819436,0.003485730753614672,0.02164223882937967,True,True,True
Abcb7,42.679077479259995,28.84402514547339,32.50534103081211,21.253492212454073,17.490912251397614,6.49412262047208,52275.012936861574,80126.12357213744,146883.94155996226,134815.97724600145,134598.85154493136,132010.67262893726,22716.08755390214,17417.959902305487,65508.71463304517,26716.069622603358,31411.32399328315,41348.19285702631,1.715546738881882,1.1594269650882307,1.3065988089539193,0.8543146058544857,0.7030723072103903,0.26104057401109293,0.4607686248342136,0.7062571905285228,1.294681874963034,1.1883109912636234,1.1863971761332655,1.163584142277341,0.200226835648364,0.15352744993666964,0.5774146893580343,0.23548395245449566,0.27686942092368516,0.3644561501136892,0.4004103925283036,0.8510274133987641,1.092126554325362,1.2274486146212034,1.2491939256003315,1.1797930995260355,42360.44485742532,90032.37800549198,115538.87597600068,129854.94463985278,132155.4369942659,124813.34517837438,74.13813991427772,0.00937858171553923,73.9074629388237,47.719788413683474,100.22112251167091,0.0040272816853490784,0.026655076072555264,True,True,True
Abcb8,25.81395815277823,14.168994808302715,11.25184881835804,7.3569780735417964,4.88118481434352,1.1807495673585595,43701.19615094952,56739.997347325276,91788.15036783557,79970.42125101495,76777.60991033957,72039.99125683327,15445.257365181516,16609.906423569693,8084.0082168391455,14160.880844837293,16378.821191160865,14048.593832014476,2.395589344712132,1.3149123736531034,1.0441951202539352,0.6827429632429577,0.45298416700011224,0.10957603113775861,0.6227942073264452,0.808612687615514,1.3080907019762353,1.1396739563044116,1.0941725837289242,1.026655863048469,0.22011335306418517,0.23671099228273082,0.11520676624128089,0.20180945460489555,0.23341775189531005,0.200209230645293,0.5362793951360476,1.045547937636257,1.1772910529047258,1.1803714111111945,1.1008585141230858,0.9596516890886893,38934.75109062301,75908.47061139601,85473.2337691896,85696.87275499919,79924.10788503622,69672.26409824175,110.1661165195826,0.011257251774240955,61.57339237503926,66.87968399579383,144.8600020379874,0.005761192544674769,0.0239157165440002,True,True,True
