gene,M_mean_scaled,P_mean_scaled
A1cf,20.38023091910578,85209.09595380927
Aadac,49.54233581810908,983956.5978202269
Aak1,16.109250811307398,27927.514193088093
Aamdc,120.01989906455448,338321.1456962068
Aars,10.415552254153058,173110.96979100973
Abat,16.870159279713537,71208.5058624776
Abcb10,16.3348691367392,52587.735698989905
Abcb1a,30.881851611951745,441712.37618380645
Abcb7,24.877828456644878,113451.76324813855
Abcb8,10.775619039113808,70169.56104738303
Abcc2,42.82162802651851,18800.79408232743
Abcc3,11.246885859762331,38846.51992340855
Abcd1,52.619327237394316,538192.4309587994
Abcd3,226.6505520418947,1440961.185440084
Abce1,4.621356220048617,122670.03731750585
Abcf1,34.44114564827721,232835.98929674402
Abcf2,3.0588349885286354,66351.75521717397
Abcf3,7.226304785792327,1864.998530808324
Abcg2,62.06420507159038,241965.86641740077
Abcg5,63.06150807120917,142436.29030967545
Abcg8,73.79975306186944,35896.01619214143
Abhd12,32.663750951463925,104102.06500532856
Abhd14b,18.631510181198937,416273.50187154586
Abhd2,261.0847958666502,28206.410955034724
Abhd3,30.234582357130392,116578.56161523417
Abhd6,40.98476364666489,358642.4049593851
Abi1,39.49838402366652,73106.28266831838
Ablim1,24.50633116366016,30674.34391903765
Abr,81.30523492010222,16416.590584466398
Acaa1a,101.96901608524551,1829700.4384094316
Acaa1b,32.76864107891503,2081.099692806945
Acaa2,96.56508821033765,4046139.373319632
Acad10,2.639192919188773,13892.571921588067
Acad8,6.098439881968711,136944.93357191447
Acad9,2.2099736909694077,326890.82046671334
Acadl,75.30258610383254,1778788.7530276328
Acadm,75.14687677764837,2511678.6418448403
Acads,34.205799217960056,1480768.6218797744
Acadvl,69.26184959317436,1825960.7122663076
Acat1,43.230849952228425,4934173.376808082
Acat2,4.503616813849162,108646.95963654428
Acbd3,14.54393403541286,169708.4069502907
Acbd5,32.267895051111104,145220.5060010047
Ace,354.4706212608571,205233.97869641034
Ace2,388.1576939210458,850710.4004244077
Acin1,20.46388878660439,145842.3788928532
Acly,5.047064736325373,233084.66911615583
Acnat1,3.885452444434837,137121.23033044275
Aco1,58.56067097675006,442396.22600831045
Aco2,179.64545424581857,7389457.6687884955
Acot11,16.025614855325767,2579.1219389167213
Acot12,37.50858121154668,15351.370031153738
Acot13,53.11449982739337,1919287.311093305
Acot4,9.394578425337995,126279.8326823897
Acot8,23.5585080212991,737924.7776119794
Acot9,16.46227882576532,26926.620998757862
Acox1,211.55530871863627,2010502.8367494503
Acox3,12.736882404695331,80839.57090529882
Acp1,29.24268511134626,976582.5614949558
Acp6,15.024538814213868,329154.24248045083
Acsf2,31.000678985834522,467792.9134191228
Acsl1,21.368141486106264,1605310.457187673
Acsl5,499.50709646381273,12606113.800351856
Acss1,4.412888221552131,123373.61577328107
Acss2,4.188772356666501,7618.046713941251
Acta1,2.5895803755226714,469221.6561950321
Actg1,834.6774820443012,1825.4437142604168
Actl6a,7.0654483834045,145802.14698628156
Actn1,2.161437854901516,176143.93636340438
Actn4,250.47584769441588,2974243.115631545
Actr1a,37.91157631018848,124718.14460258349
Actr1b,23.353618599582536,53951.98945925844
Actr2,76.20125867034379,3077529.9032557295
Actr3,184.43140004296035,1905304.312761132
Acy1,47.93446687624162,1092503.0271214598
Acy3,28.10065258583607,152828.44743260942
Ada,669.0224349179357,2795687.9423346627
Adam10,36.947353310348625,145813.29288986902
Adck3,4.65679292520928,8679.39425829492
Adck5,47.27736939307539,41910.50367799242
Add1,22.175954904198495,269585.4555413239
Add3,10.317059985333147,159672.54966136898
Adh5,9.956738478987512,430659.7076974157
Adk,20.889305453648053,232461.12200851212
Adpgk,0.9117637849262489,31947.82037463017
Adrm1,19.794245438334638,228749.7008241357
Adsl,3.9725726359427287,130886.13420781716
Adss,57.85543328212805,347328.35606671305
Afg3l2,22.182273942233895,280624.8508333702
Agfg1,31.282433400459627,17650.55173530718
Agk,1.1028230831830428,3767.523342508756
Agmat,5.233695777866068,18069.98860142357
Ago2,42.92153602279655,1558.4110003590229
Agpat1,15.39540980300494,690009.3424609711
Agpat2,231.0701339275573,361784.48878400464
Agpat3,39.94307400017945,112047.70080703202
Agpat9,49.766040537724734,437529.1157513691
Agps,12.719169682157558,14031.695504148034
Ahctf1,6.734919236311104,2368.0674825876004
Ahcy,12.173694640034178,1745524.394557174
Ahcyl1,87.91771990337453,485729.7116648248
Ahcyl2,106.78368818547312,410731.3237384025
Ahsa1,17.734746959931083,155248.3449815076
Aifm1,14.631734092600345,1090656.022241758
Aifm3,0.057364351450618294,24129.997775301676
Aimp1,32.63217767280391,387084.87621582113
Aimp2,12.580592423311222,589019.3735370868
Ak2,185.90819246430056,3801999.94970464
Ak3,113.57401190977173,3674935.1270838515
Akap1,4.438603212686554,47589.538135227565
Akap13,19.3377795430787,3315.3501903210013
Akap7,33.82529659582365,24430.4175748438
Akap8,6.922001898562862,32221.36780764414
Akap9,52.70587772946075,2480.559949773275
Akr1a1,263.1137919917862,2599317.9353313786
Akr1b7,43.437010546256396,737107.0373888804
Akr1c13,63.802794471834126,442707.77562835993
Alad,37.762902102587645,567806.2063542554
Alb,0.09839579727987996,2757681.81110708
Alcam,11.589840054289231,67691.224715258
Aldh16a1,27.700836483115935,763839.1137338532
Aldh18a1,39.359364578234484,2026832.0504786773
Aldh1a1,183.47878253895365,292078.40976568934
Aldh1a7,13.615406418364671,11866.50018119708
Aldh1b1,59.788583562772466,8851852.810719147
Aldh1l1,22.633934520085717,841305.1834345805
Aldh3a2,44.51786307309539,1194666.0301002061
Aldh3b1,15.589916208939782,5038.515132446482
Aldh5a1,6.470133161299738,351030.8235183827
Aldh6a1,6.906567060811014,230278.65125646154
Aldh9a1,95.43778235452363,3857591.337799179
Aldoa,162.0854181578651,3671665.1861115303
Aldob,860.9306459034887,33239755.561750885
Alg2,4.713138086793758,12572.11051082639
Alyref,16.337946791894854,602212.5910240872
Amacr,7.318521839610798,122340.1833920213
Amdhd2,24.138407578229366,95158.53951750141
Amfr,27.36467698913886,9123.433395360533
Amot,3.8795828968241293,6837.4741204998645
Angel2,26.494301320846024,1498.6711375867287
Ank3,14.439819636528128,14616.137148452493
Ankfy1,17.42713239037156,25399.42927106464
Ankrd17,28.69528368168849,1691.1296531845358
Anks4b,74.03623584780324,908459.0230649193
Ano10,9.866561022207826,9382.899755479406
Ano6,132.0425378368229,190442.93239855822
Anp32a,18.23156047909056,698882.3329670952
Anp32b,18.01052683425996,181167.592702196
Anp32e,6.565236448826924,79382.61757013605
Anpep,815.4896144052062,12678790.667097194
Anxa11,39.24035217376388,560700.9652714891
Anxa13,17.46277755927015,3066209.2998021585
Anxa2,430.34151116423874,11687262.663525833
Anxa4,345.17691219960466,7008952.59123114
Anxa7,12.18905126584348,271052.84298393416
Aoc1,177.19626004659952,313649.16033180506
Ap1b1,24.67980555656155,317802.83460941963
Ap1g1,21.464609982871877,83039.52765500337
Ap1g2,14.69767406400856,91600.1976757634
Ap1m2,21.081996855593143,105574.16735743363
Ap1s1,37.06248220276135,639712.1916853952
Ap2a1,11.333266233245562,52878.12892259602
Ap2a2,88.33757895759778,342813.5569598016
Ap2b1,39.69345495549018,332977.78227801446
Ap2m1,92.92246954416765,409216.4452930132
Ap2s1,76.15860485927824,21526.568502570717
Ap3b1,21.081983769548277,75180.54140252915
Ap3d1,14.618493145486005,17795.698325108522
Ap3m1,15.125004336868374,3783.866252039146
Ap3s1,88.03047870003405,96754.94316352003
Apaf1,24.809924056874184,37848.91094770262
Apeh,40.5152254012447,367241.5556335449
Apex1,1.3045992435288654,117401.0407468663
Api5,19.241535943688742,200858.18547003553
Apmap,5.309188257697184,263840.83089631906
Apoa1,13032.157356174126,3072052.811582779
Apoa1bp,21.492761108637072,22295.392965163588
Apoa4,12018.528213375908,6138714.307705422
Apob,1190.823612795613,295691.1070108498
Apoc3,4786.369593573811,82744.13296975363
Apoe,0.6169333682173892,119850.38572404091
Apoo,17.028570113345225,888098.0122841564
Apool,11.643820597999742,1032945.1466712506
App,129.91762100284586,29480.79863272698
Aprt,244.68134063850098,457708.3230788738
Aqp1,45.53130268766261,474727.6467417266
Aqr,5.58823690430203,4623.956989713194
Araf,15.837301496203699,30488.467328097468
Arcn1,70.24472720645545,747412.1461446265
Arf1,209.0495265051862,2154488.005019499
Arf4,145.83221263625282,3828534.173789771
Arf5,362.75062989962504,1775086.4857872743
Arf6,178.49812308944567,194395.75797735658
Arfgap1,12.841033018448407,31476.51484118043
Arfgap2,11.114946573254086,33486.65869253941
Arfgap3,45.76287698946654,278705.12010997906
Arfgef1,64.1139809229878,3194.17457400335
Arfip2,12.671786026690803,9187.934554076484
Arg2,211.9700079149376,4974598.692143896
Arglu1,31.803955502605632,138623.71514454868
Arhgap1,11.329452411984745,463304.68191368476
Arhgap17,27.693257228527628,47201.51880922209
Arhgap18,23.306345719007172,23360.30268478896
Arhgap26,16.700121647384947,1179.0887882889388
Arhgdia,135.1341862350072,7722897.52152606
Arhgef16,51.483370897273005,225160.2847916563
Arhgef5,52.89431038461971,3535.2556186113616
Arhgef7,10.365131418971735,2677.010167628191
Arid1a,32.9724303598833,1631.156063499151
Arih1,24.605049242835605,5054.4417005537525
Arl1,39.46511564570688,174218.59310680925
Arl2,15.55924921496814,27760.25576747795
Arl6ip1,129.67566916313947,50479.14298709523
Arl6ip5,16.372125715115605,78441.67371185223
Arl8b,33.46761420996747,267729.00079160143
Armc1,20.208888334210453,74061.62444497575
Armc10,2.0702695106317837,66619.66280799998
Arpc1b,181.60976452956672,1656861.4855452639
Arpc2,208.07611040666723,1154300.4468949256
Arpc3,84.515403626605,849328.5366071616
Arpc4,56.51938005597606,2083761.1963601094
Arpc5,104.82117434179067,1492996.0432376575
Arpin,13.430243752788185,243782.74860557227
Arrb1,39.18744925063145,149882.07368337494
As3mt,23.657960136293337,323575.85749873315
Asah2,124.78657703010619,865210.087626862
Asap2,28.054417459050956,5439.849168181337
Ascc2,12.070981056602967,6086.7280073377115
Ascl3,0.2281484969896118,198862.3984504223
Asl,7.752277056171408,47530.09250276897
Asna1,14.582141025838226,295190.67485474644
Aspa,54.21857917088321,48979.36258742475
Aspscr1,32.14774172612448,7711.758312023641
Atad1,22.28549757708811,117953.49278224485
Atf3,32.282159144337705,365791.370683813
Atg2a,10.980341689840039,9171.146633635937
Atg3,24.050526265833085,56149.154489276065
Atg4b,13.79210271724183,4034.5927927976627
Atic,2.4378297300726772,697020.6865639811
Atl2,84.62255855279717,187297.32010241726
Atl3,5.12378395678068,662.7059666844249
Atox1,255.38942929526584,390869.13467808213
Atp13a1,13.852942174419972,281871.05204223475
Atp1a1,531.8492822089139,13249343.753634205
Atp1b1,526.4559914625196,32112084.98585436
Atp1b3,5.364519098641516,545.2290564704933
Atp2a2,39.30529425816968,1632783.6466713508
Atp2b1,68.74339114715929,183892.09736242762
Atp2c1,8.035358334880238,4781.167620437348
Atp5a1,478.5599689514706,37868509.04976767
Atp5b,714.627699322507,26099371.549333815
Atp5c1,322.75305647884,8064621.528136036
Atp5d,613.2084781958227,22729814.6718023
Atp5e,949.1751782128891,7835811.649565036
Atp5f1,250.15936322105267,10148242.590333613
Atp5g3,648.734472483848,79230.26817583542
Atp5h,425.08051089727746,13499068.36006278
Atp5j,558.009044879386,2896649.3519719294
Atp5j2,869.73304245365,6257817.741254511
Atp5l,676.4063023790567,3363215.823092382
Atp5o,549.937012447289,8221750.253495988
Atp6v0a1,15.371795882887485,4446.160046510829
Atp6v0a2,62.03028360869411,35715.5613523937
Atp6v0d1,23.811525177079826,149325.4562413754
Atp6v1a,29.630575262297395,347332.07042573247
Atp6v1b2,24.991398588085858,618728.8260268861
Atp6v1c1,15.49492765255011,35252.74297389056
Atp6v1d,26.019756293796167,5215.786161544352
Atp6v1e1,39.91325029528486,127950.67124312256
Atp6v1f,62.56339081678944,31993.975633954575
Atp6v1g1,100.8940428444692,475884.5064292226
Atp6v1h,10.323587487106469,140809.32747185533
Atp7a,4.385204541482483,5677.944610559057
Atp8b1,128.20270304045164,183063.68001439117
Atpaf2,9.933687867452393,66683.47289132747
Atpif1,706.815425793908,2316080.9411218083
Atxn2l,17.16036788797298,47727.293922026314
Auh,10.177638828756496,61815.274621158205
Aup1,49.485682982307026,101289.44233332474
B2m,1486.2790156595063,2547141.6232685014
B4galnt1,68.13917437128187,594051.8446080725
B4galnt2,6.017339575424134,1355795.5164656148
B4galt1,41.611486289419204,15971.295084399717
Babam1,23.60437065229557,7688.072440339062
Bag1,104.49794568609735,54999.231066185544
Bag3,17.147141852863253,731.5024833082466
Bag4,15.057027507361001,3891.868189960946
Bag6,21.819575036296058,2750.059464585798
Baiap2l1,60.26414017152285,544375.4022012242
Baiap2l2,43.262741860864516,1634.508038619876
Bak1,80.84076280000352,980784.8421910169
Banf1,52.410123072792665,169714.45058914402
Bax,26.74837753328073,492083.14708521235
Baz1b,11.38733777061686,4080.5895748354537
Bcap31,63.7097934726304,2495275.0891693677
Bcar1,28.706918697204255,6292.355953550285
Bcas2,14.95833620892853,53158.26856977432
Bche,60.23302703471939,191715.89910540587
Bckdha,9.539471983280107,3016.7273646174235
