,beta_HDI68_left,beta_HDI68_right,beta_HDI95_left,beta_HDI95_right,beta_mode,beta_p16,beta_p50,beta_p84,delta_HDI68_left,delta_HDI68_right,delta_HDI95_left,delta_HDI95_right,delta_mode,delta_p16,delta_p50,delta_p84,model_HDI0.68_left_tp1,model_HDI0.68_left_tp2,model_HDI0.68_left_tp3,model_HDI0.68_left_tp4,model_HDI0.68_left_tp5,model_HDI0.68_left_tp6,model_HDI0.68_right_tp1,model_HDI0.68_right_tp2,model_HDI0.68_right_tp3,model_HDI0.68_right_tp4,model_HDI0.68_right_tp5,model_HDI0.68_right_tp6,model_HDI0.95_left_tp1,model_HDI0.95_left_tp2,model_HDI0.95_left_tp3,model_HDI0.95_left_tp4,model_HDI0.95_left_tp5,model_HDI0.95_left_tp6,model_HDI0.95_right_tp1,model_HDI0.95_right_tp2,model_HDI0.95_right_tp3,model_HDI0.95_right_tp4,model_HDI0.95_right_tp5,model_HDI0.95_right_tp6,pp_pval,"protein model MAP (mean-normalized), V1","protein model MAP (mean-normalized), V2","protein model MAP (mean-normalized), V3","protein model MAP (mean-normalized), V4","protein model MAP (mean-normalized), V5","protein model MAP (mean-normalized), V6","protein model MAP (scaled to molecules/cell), V1","protein model MAP (scaled to molecules/cell), V2","protein model MAP (scaled to molecules/cell), V3","protein model MAP (scaled to molecules/cell), V4","protein model MAP (scaled to molecules/cell), V5","protein model MAP (scaled to molecules/cell), V6"
A1cf,24.083275072630467,101.1311884862151,10.968299108137405,215.02613819003503,60.82431798303892,24.333059803203355,50.743062045657105,102.30386977258797,0.003997444285244916,0.016070588189158654,0.00175932729106944,0.02644372241403774,0.00935494992816025,0.0034277122318613984,0.007266403554311706,0.013915423303804162,56501.75951931367,75414.61737316678,85185.5455717762,88966.2631541676,86537.70692885053,77926.54209587169,80702.14504055571,85673.60688452735,91277.2928041041,98861.93842881543,98138.22145721591,93481.83228211076,44112.509847800866,70502.89771178323,84781.41649409721,85476.77153704174,81159.31246865375,70364.18730650842,91510.54821562007,90650.94096880167,98698.37715237553,106177.42249610703,103698.44785614594,101156.05119446064,0.32799999999999996,0.7872438230534845,0.9458776255220408,1.0633916924178661,1.1212988844487737,1.084627680793379,0.9975602937644559,67080.33445760801,80597.37735366885,90610.64475571759,95544.86423789486,92420.14412688065,85001.21079108569
Aadac,208.1343851464141,354.483825798199,160.85328223400933,475.6324308424218,274.99296002066194,212.62433288360498,273.2154314174847,363.1398209589797,0.004936871098775311,0.007964033170438813,0.003502217587549906,0.00937710538320383,0.0063551970712561745,0.004693413891003736,0.006154148963989402,0.007666536488624128,258471.62739637066,857624.5875744908,1139815.6755473702,1214767.6414975477,1177877.141289786,1054076.6326590113,362805.0895746296,912177.4778924371,1203257.1585060891,1257323.0188303457,1222627.3732000059,1136990.2988707721,202466.80417353165,821507.8407684095,1112142.313795783,1194614.2116650057,1154376.318708503,1017342.472742568,414305.4443002848,935281.4984811536,1233716.1621976246,1277631.9617777243,1245627.5108064506,1189149.0536671171,0.6409999999999999,0.3194038926649846,0.9028199711087724,1.1954387614047626,1.2588264728325536,1.214516983404623,1.1089939185843036,314279.5675571752,888335.6672163433,1176259.8565742562,1238630.6134543556,1195031.9989856977,1091201.8831335332
Aak1,12.570153271905708,21.681509601075,10.322521685979895,30.898699121841386,18.44920330328089,13.247626830110827,17.098732148723293,23.058059770259657,0.0021359489720429205,0.007052298809025539,0.0009515096149144488,0.010839590862406013,0.004444323368508711,0.0018980970409298282,0.0037067122613098015,0.006384896124349837,18457.914649327136,23464.95402013189,27633.122096448486,30935.98893899055,31969.825074591343,30838.838954987736,20261.64724069849,24435.11033551749,28685.013374787006,32109.58331201344,32922.45439032794,33028.264915095155,17245.738246275803,22841.222867155127,27395.720173662954,30446.860512529413,31577.129175640785,29437.800646143183,21097.26626346423,24892.37683919357,29645.69057226205,33086.30660124315,33514.347633777375,34028.09095929815,0.14400000000000002,0.6930300407948021,0.8588596193493008,1.0180778750098973,1.1365978974384259,1.1623177577702781,1.1311168096372948,19354.606300533254,23985.81420924783,28432.38430400787,31742.353912545717,32460.645677007768,31589.280755186068
Aamdc,25.664061626172042,117.94715327254092,15.844536543988289,451.70488698363596,55.487774670544475,32.993437055273056,64.08244732650756,166.7854185308841,0.0024186041938883862,0.007325134577330945,0.0011752597900602953,0.010311358906097945,0.00413695435442281,0.0020548809689291915,0.003924003061674002,0.006491730976315284,39638.907027111716,226687.5679511216,348613.86441837304,406879.69442615437,431375.7708295578,404472.2422053814,142978.1359240748,262939.41330566147,374112.20336399047,452073.9116019403,475471.6450087202,452823.4402808546,9624.506608017353,216027.2402317024,342847.38356661506,395022.68934177305,408611.4785978929,383818.5532443372,186161.82119999046,285387.21090296283,391329.6090825395,473061.2180429786,489225.90745836776,476628.6380081458,0.5255,0.3322483977636208,0.7457969412302183,1.0748411802826148,1.2708790516005564,1.3139341911647207,1.2623002379582693,112406.65858711721,252318.87561373407,363641.49955467734,429965.2567788089,444531.7209242671,427062.8627186361
Aars,29.44312793964937,259.2216995744702,7.701568093639008,557.2520307925262,132.5247667895786,21.834208279921977,74.99643285025692,203.44438862402163,0.004400764544287335,0.014415846243007194,0.002301383624563675,0.02542837300893361,0.011455243937458132,0.0044610974222896805,0.008062162666880387,0.014675043277516432,175092.45532201274,183861.61645769468,177973.1334361686,162176.15488065488,139719.13795893095,119336.4071655282,218717.75436117526,209846.55551648285,188535.63527341068,174631.44745045187,163119.3346261414,153493.55611531527,156179.5472823284,176204.03449982527,175713.1582728018,155281.38416206953,129258.18135680284,102991.47475049132,243381.4021895323,229280.22481494505,200197.60550350614,180800.60494166988,174312.2348347158,167961.48648301838,0.8959999999999999,1.1464657522924708,1.1883243119895603,1.0899221250049944,0.9760778342460825,0.8576195514580048,0.7415904250088864,198465.79821152915,205711.9740747472,188677.4760562927,168969.7804778478,148463.35226462598,128377.4376610154
Abat,37.795762029248,112.10682908426445,22.320718342478845,250.9135541333841,64.5304394679397,40.67735549932089,67.1828931219058,123.19146961674379,0.004380123762539187,0.013528497505939464,0.0019592466084594243,0.01880624542525001,0.008222976787071793,0.0036253032612875925,0.007060765954450671,0.011811849946247328,16051.967094858046,55616.04206096797,76309.25047207461,90637.84920667524,83484.1515686456,69863.1620098866,33581.297450450016,65759.09834180449,86386.9294228357,99566.50432090883,92840.60728472429,87147.08816665251,6356.798457853302,51374.813260745264,74538.61175556389,87126.22606999068,78352.77797320689,59856.800441591826,39194.75838006199,71490.73742927233,93248.15379336248,104188.35808315627,96575.92450613453,92337.68268211506,0.669,0.34316022733553364,0.8748565176425496,1.1739786368826322,1.3314673447129721,1.2169198824661,1.0596173909602127,24435.927059991493,62297.22546537623,83597.26464688037,94811.80022169116,86655.04658475284,75453.77119617352
Abcb10,43.71775727532292,359.4241709965278,25.927534226329982,1840.20760432308,104.7925949179575,59.228741689173326,150.96704071454195,558.5884025910395,0.004138546061611084,0.011061934893890521,0.0019912528154180675,0.015483127970288108,0.007470078840622316,0.003662993300930555,0.006515524095877983,0.010175271752580515,56.46388820144482,31746.909472204483,52730.80639104779,70396.05104566124,74581.69005253965,68165.79519499865,5219.2519605694015,36996.54875820313,57923.02279112393,74146.89466309639,78836.63760596447,78085.32953082082,23.851469730677305,29978.20154560337,51526.484115774,68198.97118534778,72081.17207975966,62421.63249679259,10950.829528207194,40224.760976999736,61564.80285628295,75858.07961670947,80317.43707901653,81199.87111443972,0.677,0.0930950126868201,0.6741849618273645,1.07133374765563,1.3727229855393763,1.4418700066541237,1.3467932856366853,4895.655922068608,35453.860584811046,56339.015967122614,72188.39355147307,75824.67882222787,70824.80934623623
Abcb1a,279.5650996231779,421.0503116554459,242.59200398292873,556.1005003225932,357.514434455287,291.4632634945966,349.7935645096007,446.1772846223363,0.003956757463378533,0.015323111003840479,0.0016621973734346214,0.024216830066495568,0.00875071538066311,0.0035221022938361234,0.007522104660583878,0.013972078124292638,26907.002836285184,268245.33230700204,411000.0725905281,542252.1410116826,634413.950607772,645140.7866126468,32739.022433748807,326799.72602063144,458684.0520652345,558044.9065043512,663103.271382349,739324.3901823512,23938.47488128236,258190.84882403808,402819.1533633375,537172.5379265436,604771.7406018595,569612.4790425114,35399.39928701724,384184.00894901005,496826.66904517345,561443.3780153317,666672.9825730424,754759.7747891423,0.7859999999999999,0.06749571812806739,0.70598618394994,1.0129225213875035,1.247902961374701,1.4516460508457563,1.514046564314032,29813.694036581066,311842.8348654659,447420.41381216666,551214.182315628,641210.0264969177,668773.1055760793
Abcb7,45.75587649446574,185.839459411095,26.560986138179953,577.6537362023439,94.43814392528921,52.27806604656738,99.85403579578201,221.94233961595998,0.004473177513867378,0.017670844264347556,0.0018220576970055336,0.027816879579976615,0.010390950611826133,0.003943266478377119,0.00859699518980931,0.01621987556123864,28084.673509020562,80721.4569721746,111099.39096594768,133238.86899922087,136035.5252046052,125726.12964423427,65611.9113306983,99756.06632695594,124601.7389498851,147814.73316385658,154961.74135269885,156540.52686391262,6794.6591116486,69461.3455340215,108290.68541512266,126661.35347618086,126290.37294348088,109504.10426062184,76974.26174297428,108957.67419136263,136280.32201044782,154628.64117328628,164116.93534252088,171629.25577793835,0.8775,0.42070087056412864,0.8146581633853871,1.073913995140236,1.2327943269250854,1.265272226678698,1.1926604173064643,47729.2555655273,92424.40508056231,121837.43632551268,139862.6901119531,143547.36510559675,135309.4272996791
Abcb8,77.04283287804414,276.3294753250059,36.33414794429971,607.2183845166664,153.36733006290495,77.44926416559073,146.14307225744062,278.2017428956017,0.008070507152310467,0.020419184907327123,0.0037853886601489214,0.028370910790979857,0.013819957825737715,0.00680929984122335,0.011883957557049012,0.01782906418075518,25933.280364712144,64283.36070032472,76653.38617216256,78639.44512024066,73266.74827527892,60314.68670816856,50785.761918891134,75999.72320434486,86896.99761671678,87415.88650233428,84352.19400872629,76691.62221752369,14383.862903220474,58349.643176296995,72245.30797696169,75441.55724065812,68306.63994964973,53790.00463758348,61955.95188948249,82367.03304145588,91234.58907570344,92384.57019071195,89823.85561267991,86279.62650992925,0.664,0.5312991539628016,1.0279964088949742,1.1860520183797774,1.1994949696393717,1.1106315220276337,0.9445259270954417,37281.028418415764,72134.05677044642,83224.74950907165,84168.03549813875,77932.52638606598,66276.96970215965
