,protein V1,protein V2,protein V3,protein V4,protein V5,protein V6
A1cf,83752.18430468599,67364.28799520012,110733.12133259275,64239.56209194129,94848.56692426073,90316.85307417474
Aadac,275098.53790634073,1050423.528729689,1132347.4796002891,1213319.27222402,1123931.8528497256,1108618.915611297
Aak1,23233.27720380033,23032.558664083506,20683.70625120612,32205.75225486608,32750.84210218348,35658.94868238901
Aamdc,159659.34227631034,352261.43688898114,326232.27739858517,361001.0772484243,375271.96618649643,455500.7741784436
Aars,191894.83320172247,204038.2652783731,172449.82940665627,163762.56064862007,127387.10357087279,179133.2266398137
Abat,21084.86097779567,75062.60511114384,80247.08211415874,76232.55829348235,84113.58765154573,90510.34102673926
Abcb10,7487.135669445605,30180.347677724247,48985.916047441686,88665.37849947988,70966.57741364477,69241.0588862032
Abcb1a,29653.132649392723,265174.3209097204,382936.72641046846,683815.9667514481,561191.3261607414,727502.7842210678
Abcb7,52275.012936861574,80126.12357213744,146883.94155996223,134815.97724600145,134598.85154493136,132010.67262893723
Abcb8,43701.196150949516,56739.99734732528,91788.15036783557,79970.42125101495,76777.60991033958,72039.99125683327
Abcc2,0.0,1524.9174795909928,9800.0703769235,34031.9140374433,31037.600594641644,36410.262005365155
Abcc3,26559.11383047844,27888.11623431447,33837.23076282298,50784.3973097417,55471.81603464872,38538.44536844498
Abcd1,112660.9640509924,401176.3650260349,709469.6746006763,646762.1449233775,709120.5539232785,649964.8832284368
Abcd3,393641.7548504477,1233976.9438793955,1565135.3994753824,1835382.5252822817,1849171.7029622784,1768458.7861907175
Abce1,112743.75083366613,116015.9443813182,100451.16593444068,148832.07635369146,126412.68317566792,131564.6032262506
Abcf1,172185.7521469141,274017.9739534101,167625.26611099462,277618.51941399183,246640.82292933197,258927.60122582156
Abcf2,63815.493239062314,86643.7853778298,87427.31072003857,56695.15857837574,63752.37559154349,39776.40779619393
Abcf3,919.1795087512112,1822.9707028850753,0.0,3206.018072053735,2289.8126331281233,2952.0102680317978
Abcg2,12952.436750743276,120431.70199010686,252650.74236200374,353326.6392108008,374843.25203169504,337590.4261590547
Abcg5,37667.934542020375,116322.31164581006,141089.7961468127,173087.47697023666,207377.2324462087,179072.99010696413
Abcg8,4880.8256133762,24532.18560316371,48426.84089086156,46748.548029539954,47483.87117782802,43303.82583807913
Abhd12,15824.782564796347,66158.47764754767,84874.59250797187,149640.6589263266,129358.41586660274,178755.46251872618
Abhd14b,288189.21603321366,426794.91926750826,327063.3478632554,481228.3340329869,430816.0690379123,543549.1249943986
Abhd2,4265.9431891468885,4054.0911000980796,4155.169063305024,31280.30447915703,34956.7697787168,90526.18811978452
Abhd3,35733.26389808531,84701.70047251489,162355.04574529908,136179.4086252973,150859.1036240582,129642.84732615022
Abhd6,53365.76010847579,266059.1176660208,407810.8140545208,526702.6130217091,434863.69296688895,463052.4319386953
Abi1,57099.272913053435,55120.57935570257,73195.58329481976,69207.4183759045,85171.24198969048,98843.60008073955
Ablim1,4166.018196044093,20080.910192656516,11783.718825461137,10772.980889758512,13535.979981824465,123706.45542848117
Abr,10240.526198098436,4878.989538802586,18049.771470863943,17874.211492506678,23502.77350070708,23953.27130581966
Acaa1a,436094.6589442169,1735537.0177419602,2237395.5679770038,2358587.5864305976,1958787.9838251567,2251799.8155376534
Acaa1b,0.0,0.0,4929.5363468070345,0.0,2810.8404563006397,4746.221353733995
Acaa2,2023663.6591677198,4373614.43167763,4739169.051283552,4647066.474024261,4274932.78760227,4218389.8361623585
Acad10,3089.961428761912,11434.294605066563,16177.458709177066,14097.446762670415,14735.546162773771,23820.723861078674
Acad8,70169.45288670382,60233.09237082253,163953.06409051828,182016.31328144568,181858.78517144427,163438.8936305523
Acad9,198182.56220282672,266682.82861284696,383784.44472327223,360400.8034299904,395844.51895355695,356449.76487778703
Acadl,918547.5741343345,1633390.655776877,1908850.4144186056,2174773.533056888,1980910.2717860444,2056260.0689930462
Acadm,1223049.2112248053,2504010.790347943,3076723.723243935,2726005.97472441,2731003.3581054616,2809278.793422485
Acads,688567.7979522657,1394489.392921381,1815119.2565815116,1668752.30965356,1658285.4145285313,1659397.5596413985
Acadvl,660721.0033541875,1863638.1933657594,2094616.113854188,2277899.9571619504,2019206.3123472142,2039682.6935145457
Acat1,2904311.418283296,5263901.8861459475,5917503.3799992325,5156333.367449947,5223768.035571653,5139222.173398413
Acat2,286982.85913068615,82567.94860716691,71881.90847275661,76886.17176576941,42263.45655172113,91299.4132911655
Acbd3,187450.538170551,159700.3086376281,180853.13556168193,135759.14038741763,170391.52203402974,184095.7969104358
Acbd5,39612.25401260343,108267.04542359253,190400.78614329017,144568.81657867008,153967.59820817437,234506.53563969771
Ace,64025.58957316922,137955.35165269073,232172.3424881407,298850.86341626564,288275.43021271436,210124.29483548144
Ace2,29194.823842721155,460395.24734170275,909411.5938263058,1235169.6685564648,1137550.523563881,1332540.5454153703
Acin1,134395.17149933174,171259.35621567062,152165.29863324927,128472.69543184816,147456.85878823602,141304.89278878336
Acly,889948.9345397155,110767.90314545836,75200.27981117637,90428.00806048648,124474.29045707428,107688.59868302381
Acnat1,31203.460010506577,140925.422600322,141691.33025913857,156758.3475957852,181620.5989768239,170528.22254008026
Aco1,157581.48883554823,438776.6531857492,487648.0962402772,533928.4105918255,450626.6372923104,585816.069904152
Aco2,3599018.1726018162,7736266.7860076325,8850469.08824978,8765223.287011597,7980451.829080951,7405316.849779194
Acot11,502.2219519393929,1686.3093084750085,0.0,4867.422996062479,6158.228345423963,2260.5490315994834
Acot12,0.0,0.0,17814.33425737927,27164.84154098157,16242.74648538043,30886.297903181156
Acot13,1010973.1366523138,2852440.667548385,2317335.6597437393,1803899.8594106713,1583595.0632922575,1947479.4799124626
Acot4,13373.807876879077,30605.00598791097,194551.53894988596,147628.58164989593,168820.1983705996,202699.86325916665
Acot8,331857.94395853864,688144.8846996534,978295.4937215493,717066.5901041939,813966.7967595988,898216.9564283421
Acot9,11554.312103612208,20207.82426965918,37239.13762111548,22679.57613123794,25528.77745052574,44350.09841639665
Acox1,360941.49144216743,1536497.8252873288,2166510.1613604706,2950956.36863093,2502218.1592102386,2545893.014565567
Acox3,12227.415142740148,60801.17799303922,96383.9991351946,111452.42700683158,95308.56049964477,108863.8456543426
Acp1,337002.27089953487,219781.38593417624,571987.6338785564,2661909.450301161,618196.975170883,1450617.6527854227
Acp6,142564.92441907484,292834.00633900013,396648.0825246781,374312.64103172754,368054.8433772452,400510.9571909793
Acsf2,173691.81871425806,309735.8785755044,432982.79133456177,619869.3248266347,610833.0546890113,659644.6123747665
Acsl1,33086.789591713445,90355.94485174093,2433472.10041981,4552552.473139715,2401834.418466613,120561.0166564456
Acsl5,2916272.8019737136,8388334.783467386,15074039.527460836,16611237.150215559,15821564.210115138,16825234.328878503
Acss1,95901.56730072704,110804.52682100986,109789.4979503285,160792.23891469368,144562.0491053363,118391.81454759104
Acss2,6273.951118625498,7021.356473340354,8754.979112047215,9641.620243873298,6051.448862449207,7964.924473311943
Acta1,73921.71019789806,287143.4973882858,231183.27947797868,486884.351672228,703983.8002069634,1032213.2982268387
Actg1,0.0,3689.275648085823,4372.10133983716,2891.2852976395193,0.0,0.0
Actl6a,127846.78945644238,154628.30618580137,145310.29555712946,161901.90794228078,152867.66623515505,132257.91654088037
Actn1,306407.81280049606,184223.47184246624,118039.29129740174,143245.33240786137,139214.58901074628,165733.12082145445
Actn4,1748680.183881271,2516080.805298937,2871180.4739877833,3438945.680463975,3332499.5833152165,3938071.9668420884
Actr1a,64495.539042529206,139119.03031114486,82304.93610559226,158461.9696045826,115551.21484131043,188376.17771034146
Actr1b,7251.716635479212,48755.07258800789,14286.267105953555,70804.99754767923,71686.74989504526,110927.13298338548
Actr2,2339649.2448980403,2827327.1432383335,3420372.180183936,3181838.0135300797,3156553.5891871597,3539439.248496827
Actr3,1390424.2623322497,2000975.6141292136,1686638.6590690985,2132943.803230531,1931866.714843842,2288976.822961857
Acy1,468425.56943241553,883285.6335844588,1119020.9948237375,1347985.7551156715,1258476.06674571,1477824.1430267652
Acy3,46970.56169602919,91920.05160128098,151487.25905429653,208341.57385926403,209029.59285751768,209221.64552726806
Ada,163346.81714023708,511640.3006464136,810923.1526772686,2959989.2360854275,3714040.9239387834,8614187.223519845
Adam10,83553.7402097837,137032.21409381676,167496.47146506872,148981.05276472893,173457.18059635302,164359.09820946294
Adck3,1099.9316466285352,11762.854116897179,9593.826596457964,9329.371768970403,12190.446779659656,8099.934641155783
Adck5,5316.711155136642,4078.4791851366504,24257.741236306978,120501.08904150453,50263.433171434415,47045.56827843526
Add1,180642.14188692224,272513.04267252196,323757.28019751736,259546.04627585877,314033.0775752769,267021.1446398465
Add3,64812.683492549564,162137.3395491137,197672.72694224145,192096.71429579926,165245.74647971313,176070.08720879664
Adh5,336292.31718414166,442695.43606638967,339512.4857564442,579618.1285211759,441645.0664761747,444194.8121801679
Adk,217019.54080594942,279900.3444218916,119986.5079737308,259828.41756265148,281697.531499096,236334.38978775337
Adpgk,27378.305783338674,30255.559313561895,41288.234656542336,32646.628899323194,35787.09732682493,24331.096268189987
Adrm1,204733.37131665106,253217.27790441006,254642.54535710762,195031.85229174484,214729.7233483829,250143.4347265179
Adsl,157754.9955148236,141365.16119567215,120409.68922410946,107182.62186823183,120324.569534762,138279.76790930392
Adss,201829.24674245174,268223.8928045858,231402.84032786926,323782.1865711065,350808.1291572779,707923.8407969873
Afg3l2,136786.01866912356,309480.95330665546,300733.63266826567,320825.7537932061,276272.4167093147,339650.3298536558
Agfg1,0.0,25503.711091984627,16988.90234765314,14404.358062461864,29464.948444149806,19541.39046559366
Agk,1359.3490925412484,2862.2225486113184,1886.7118827379702,10588.934749938344,3588.2460854621704,2319.6756957614853
Agmat,0.0,20977.077436081487,46697.32824660615,15537.21788945516,25208.308036398637,0.0
Ago2,0.0,2682.63919485742,0.0,3288.8536772082434,0.0,3378.9731300884737
Agpat1,189430.73788700637,710267.1101678924,710185.1404537623,891930.7858068434,677918.0370601894,960324.2433901328
Agpat2,72385.42352992957,246301.4643257331,456359.43262042804,551861.0251242875,456870.8053457513,386928.7817578981
Agpat3,29852.65588957939,44389.77427287156,107776.08921081234,205132.61660940526,150065.0078124993,135070.06104702436
Agpat9,84502.19760251482,306693.471873933,496899.87609197723,651886.1381048362,531628.3811015886,553564.6297333647
Agps,4472.086100216992,5163.266054823754,13561.70564063041,20815.86805981255,23128.371136896974,17048.876032507527
Ahctf1,2640.9524136878567,2184.8947432939817,3581.0590022269475,2422.227569970254,1957.5816825455247,1421.6894838010376
Ahcy,1799693.7662676238,1982173.7193711684,1758960.2238087968,1600523.067806512,1527354.315460287,1804441.2746286558
Ahcyl1,48153.4453959551,69935.36814808114,109370.83899822044,132623.4621464355,2423484.124703075,130811.03059718185
Ahcyl2,225851.79188559845,410394.9110417512,469053.425094129,399433.5284717068,445289.756860667,514364.5290765629
Ahsa1,117469.51325417224,181941.8997986071,183232.15565661204,114625.80203418789,158825.11343634073,175395.58570912576
Aifm1,499172.7876610693,973046.1646591158,1398175.5440563029,1267220.2977085316,1273882.4968529681,1132438.8425125596
Aifm3,0.0,0.0,144779.98665181006,0.0,0.0,0.0
