,SEM protein V1,SEM protein V2,SEM protein V3,SEM protein V4,SEM protein V5,SEM protein V6
A1cf,46667.177771331684,23905.597457194574,16471.780418577313,15798.189403413664,7837.048540067292,14546.86835309902
Aadac,64628.96260555839,159853.4082733776,159017.61991541664,42096.731849781136,87413.6006367871,45319.04118608137
Aak1,2273.4218068720825,4910.245494371444,3237.3205146902756,3017.9954421930915,522.0860748995813,8756.187932287972
Aamdc,95945.3051883157,107929.25842665104,119613.35092628367,67153.62565055439,82779.750606663,29600.239224073997
Aars,27985.31618482687,35966.1538416653,53073.63448045906,39053.144198841816,30484.797573240274,69986.5453514177
Abat,9398.037621645788,24280.706320956608,13280.833910063862,14723.767547942298,8186.991873675075,22276.664781139898
Abcb10,6484.049691320509,5370.396386050774,13760.943760425462,14082.695474198612,10374.9712079088,9520.686921289593
Abcb1a,2952.8693174619007,111119.29214591255,172179.7643204241,118363.62158083964,184022.41842298096,151508.0033031885
Abcb7,22716.08755390214,17417.959902305487,65508.71463304517,26716.06962260336,31411.32399328315,41348.19285702631
Abcb8,15445.257365181515,16609.906423569697,8084.008216839146,14160.880844837293,16378.821191160863,14048.593832014474
Abcc2,1636.9181060242388,1524.9174795909928,6414.9887012610825,3615.5829378964063,12713.388594744052,7090.469241175021
Abcc3,6341.317030635139,5427.564298586947,10973.45918970459,7696.328663995868,2800.731844881574,9850.914949892362
Abcd1,36586.34935480918,31588.75392242343,13734.046932531804,47207.81928274226,51012.310864569496,76660.37998602151
Abcd3,77146.48213230481,185623.64415773418,219003.8174044573,161085.83454497467,126430.23361235893,143724.70295112784
Abce1,41869.23645144096,19647.171517605395,15705.71126004142,35561.14649632484,26641.903867922265,33529.78148910255
Abcf1,31968.264433957826,40566.575534270734,54934.52524384738,31147.42778046395,14324.878337896593,21481.161950193793
Abcf2,2785.9127286673893,5717.689298174381,8172.696374413259,4301.29706678187,2783.5466251858234,14774.989563181533
Abcf3,796.0328052166494,1822.9707028850753,957.547288788467,3206.018072053735,2289.8126331281233,2952.0102680317978
Abcg2,11217.139267054845,58486.27570926935,46546.18425610588,31042.240194828275,46083.499647927645,32035.363683167056
Abcg5,17858.280285264314,46985.295999232796,58192.96484226884,48701.17948384402,35269.89930799509,61406.90651464703
Abcg8,4226.918972625532,14211.426345475791,16839.97905498477,16839.53715426854,18407.370467584493,17544.271579058724
Abhd12,9589.915405277841,12992.044580425103,24678.11081581344,54403.91586880574,28318.787766586447,43327.963988648946
Abhd14b,22899.29693430486,97119.29938152632,82010.04609421715,86116.45840930143,95873.91167859157,65438.37908277296
Abhd2,3694.4151729024243,4054.0911000980796,4155.169063305024,18581.950342448836,14818.294391805957,42113.53922442628
Abhd3,18883.255779357278,7259.5367593671845,7650.622678863069,19703.13441280842,15078.285746078116,18323.390010939987
Abhd6,25651.65188530643,44097.224497061165,53326.06520142265,80701.34724840957,74239.93957435116,86840.39423614966
Abi1,13560.99080296153,12784.283067586015,14947.463722250524,4293.487225248774,12286.908270227366,32517.520923468543
Ablim1,3607.8775904024087,15173.747551839617,6002.144060724194,7408.429156146555,5642.5289865696295,99088.97531349778
Abr,8868.555835673333,4878.989538802586,6515.191990880647,12035.507501504208,8345.6005159165,8003.359199287052
Acaa1a,127682.26900479723,72073.64979145533,110603.87705104619,208912.33906998255,211059.6490950315,196877.43796402673
Acaa1b,650.8979053097391,950.687334212531,4929.5363468070345,1044.8220909338145,2810.8404563006397,4746.221353733995
Acaa2,196970.22298170812,359519.6327815057,333256.06959478377,215872.62547877064,125716.14546020761,179315.00785946852
Acad10,1337.993330680276,2839.6685919760093,2928.877763463827,251.69010386326224,1473.871966201355,6666.11731867495
Acad8,16426.482908306516,18345.68828987486,53936.98254847598,23306.013578898135,30112.09850327754,7846.344752615894
Acad9,37785.93571638394,14057.324623593511,31396.967742145705,20564.35139754916,51352.24867509669,28558.078145387866
Acadl,150098.23094949324,373893.40949809743,528469.5905864213,295765.3656583312,146057.8846866612,287463.5854438307
Acadm,49070.09536659444,141366.604446702,133366.62712299274,166727.6684326974,69966.45409384597,257328.21506926423
Acads,98690.83110839246,57465.83939612859,110127.43030966847,84067.86460082009,187956.71166124428,148778.5280120083
Acadvl,40504.590386270596,194661.56821809572,184333.55022904908,35728.80260376089,77804.18577175665,95220.70482777043
Acat1,316120.12905776827,286112.04808383866,204696.94237581483,385939.788836758,458590.5866989264,379798.0322249883
Acat2,190924.24309506113,30221.625321693606,16014.214825543628,22077.625654665513,15868.508244539762,26589.737835427844
Acbd3,5915.333051346892,45969.05927850028,44929.05164870971,28361.917355034846,11151.41524314516,31286.12711094753
Acbd5,2134.220495347583,15127.442543774487,15231.890702866645,17944.0931032281,19099.867376189984,69453.7501452899
Ace,38963.06563333119,37961.16887802907,54102.0157753687,61920.648948791684,51553.846355573885,67866.55043876119
Ace2,12813.072602848802,59580.602710329586,127601.04204018773,185270.80860916653,124063.38811719297,228817.10851396766
Acin1,2816.3414628538403,22758.118093806534,14405.900891737952,20754.467182333876,14726.62555984709,9308.10341798197
Acly,587710.967307153,61554.65293117679,37720.16420621891,44603.473860791455,74244.44122836491,43621.35687145755
Acnat1,18018.870038399877,17231.36710816653,19222.314070755678,10957.838365398284,33345.533954780185,20016.264429170315
Aco1,17536.996702236083,54599.19236331746,137822.85185064372,68742.81536897816,85529.53062745488,126113.76489953884
Aco2,436483.6233729176,557148.969638065,312485.47951145074,645328.3900594376,486347.73156425956,371879.76800284884
Acot11,434.93696871772244,1686.3093084750085,1292.6256020514336,4867.422996062479,6158.228345423963,2260.5490315994834
Acot12,4785.925725803237,6990.219100241085,17814.33425737927,27164.84154098157,16242.74648538043,30886.297903181156
Acot13,159989.29196151238,787041.4463021109,302027.48848587804,496838.7824450513,413141.6238623039,146869.40155025435
Acot4,6347.778232845977,18214.401923857284,11108.355647503622,18575.07456006766,20230.93934773142,18091.652783994803
Acot8,12290.676903560969,44849.358356560064,114727.1946239388,158332.22687608548,42703.74146019634,87140.41493532728
Acot9,6696.947254167474,7948.895843069258,22014.140552640136,8512.308433630065,13333.690468111634,17994.874684626175
Acox1,107690.84039653295,205696.8684339441,324294.6328983032,274089.26566767774,281592.86370482174,323275.2866620692
Acox3,7558.3252485152325,14473.632045670522,14400.55732663367,10491.568448369726,12334.740105230245,4649.692163202494
Acp1,211221.45772206478,40169.97709843001,429342.6561068035,233499.48267056997,517565.1141018819,651913.8480166078
Acp6,37452.10577051729,15761.147746870849,44485.352951093184,44085.21298427809,33041.0878886118,31553.56465718432
Acsf2,14733.097348548315,37868.621555887534,51441.261207649884,104945.9186696731,114268.16552638455,131013.12932074134
Acsl1,8759.497785072967,28268.271237993347,2390889.6293164575,2652903.694512957,2320729.65047521,24819.706948825802
Acsl5,206850.08429987633,1020515.8618613892,250256.6440193571,564222.9459275177,907097.1256821576,971668.5600016576
Acss1,25933.53237805107,23984.822458351115,39421.91036459059,14151.910167047594,32991.53743566831,23942.107075612068
Acss2,5433.401050831488,7021.356473340354,8754.979112047215,6238.7793373680115,6051.448862449207,4667.145828163068
Acta1,45088.09941066196,126870.0053782759,51553.32692942528,161342.91829382002,211702.2315242421,496479.4717252504
Actg1,591.7459077064495,3689.275648085823,4372.10133983716,2891.2852976395193,954.1811273330312,955.2629160494977
Actl6a,33997.963053630694,29154.73924417155,46434.25647225771,11657.966444813437,5749.872325293843,3829.323828828414
Actn1,30174.762715657864,25736.38306943528,21344.50316761098,13681.080596819023,16177.582392984572,23011.011201202615
Actn4,133524.50939929936,323424.8392535058,214179.164863779,317050.8149415328,257193.19234504868,311050.30078112805
Actr1a,7855.859005508235,13372.602811844296,34450.33000554193,32909.02219579638,13457.552400190638,23186.56036514415
Actr1b,3888.501997752914,12516.848876946044,14286.267105953555,13422.75493803225,37940.656968141695,30667.559469914322
Actr2,142800.68477675854,212304.31308044877,225437.4449605258,186666.48133481666,184558.4239005141,165373.3068014892
Actr3,294659.10305541457,214021.9107122681,350924.8000226694,55011.798302237905,124875.21832221573,194035.12660026186
Acy1,81987.75712015678,141433.58714980155,178994.385043754,184166.11345965104,121598.59255908086,125043.31612028889
Acy3,21926.4921241131,59644.76017315964,65895.82310259504,81625.91993176885,103640.90045623202,78195.60513124442
Ada,42196.65775933603,182516.61935389915,237677.66874727854,813240.1229037284,506821.4749975554,1308504.4001319802
Adam10,16845.679123444657,23719.854453422762,35786.4197238513,24926.985646015033,14796.482882096443,14155.840840754525
Adck3,952.5687484067597,11762.854116897179,9593.826596457964,9329.371768970403,12190.446779659656,8099.934641155783
Adck5,2318.429938125002,4078.4791851366504,3204.773424253632,56519.08766986577,8557.116855104072,8304.681559518753
Add1,28472.575961204508,22076.484425933097,34350.33990131662,11602.165458562462,34320.66133040111,30068.907861505908
Add3,31105.028951148837,24425.202592623733,45797.08072947258,18064.66767734501,21068.39907352449,6886.637724141317
Adh5,57893.614780169366,69124.42655111545,64357.7232792872,59179.555247152224,57595.2956888392,85931.27176052151
Adk,48015.295306607215,38039.12830767742,88512.64523258494,59146.57732166811,14333.179165086689,44861.387263145356
Adpgk,6470.320557804843,8398.921046682819,4703.053135720307,7485.524492631571,9635.76779835792,3610.561614885109
Adrm1,14819.213006861073,24482.802981371657,28327.799468678895,28586.673947443855,28193.419642519904,66085.24126250793
Adsl,15991.438519950545,20633.814121328913,27228.335172865605,36417.414458272615,12375.059016386807,15093.747884767363
Adss,97618.42524130526,23086.341371743507,28480.753678355704,64207.24540269597,44754.24930564759,245619.97020931507
Afg3l2,31637.741000015347,34592.94805564243,29599.221050530923,52410.645482337044,24619.678908625516,40160.36049723661
Agfg1,5008.655282266721,25503.711091984627,16988.90234765314,14404.358062461864,17391.202158460772,19541.39046559366
Agk,1177.2308467520452,2862.2225486113184,1886.7118827379702,10588.934749938344,3588.2460854621704,2319.6756957614853
Agmat,5775.125303741737,20977.077436081487,46697.32824660615,15537.21788945516,25208.308036398637,9322.857946894837
Ago2,498.2253394644781,2682.63919485742,785.2948088744605,3288.8536772082434,803.3806569422541,3378.9731300884737
Agpat1,55315.86467333459,182697.61114454648,265626.662303829,128420.60552692287,151120.75320739945,207586.49972937605
Agpat2,40452.189142606796,77321.34182838062,71864.23812505475,105849.00526672725,71435.1778650477,64290.25763765537
Agpat3,19064.150285692187,2948.767210597596,32153.279825832095,79007.6161316083,51321.4357616419,52666.730839788244
Agpat9,5772.792035952951,45412.06350701119,74534.37331382261,83124.49055791816,55574.25833840519,74001.36257445657
Agps,3872.940170699211,5163.266054823754,5415.463924382893,12509.81582720431,7983.418925674498,7870.308214397425
Ahctf1,1308.4245890642585,1513.6385983597927,2212.543880138275,1673.2149934257377,1957.5816825455247,1421.6894838010376
Ahcy,174350.5253008217,229258.6629420692,371418.51509857265,187886.50283876632,108225.801012583,212369.66276298018
Ahcyl1,17125.73821493772,16057.184836272525,32879.52487072693,26433.238919790096,2299257.669732798,36547.443139031835
Ahcyl2,37439.917789923384,69214.63455713872,40305.41253748661,55845.76423632054,44340.61603979944,114130.02504725775
Ahsa1,58837.0201307833,59037.93691170823,17012.10662462646,17324.231145691112,44322.46231264023,31891.113280178924
Aifm1,57364.72141014757,131929.22928744063,70650.88646475873,142644.74814460645,68243.2120377105,100912.18548920559
Aifm3,7654.5624630499,11180.087573176788,144779.98665181006,12287.112760059485,12342.863626286893,12356.857165057801
Aimp1,37615.09390781763,32559.840475452547,61467.104389199514,27674.057754664307,57021.674346267566,27200.78873477799
Aimp2,90643.62756946425,48792.46295550681,73199.37392028465,815321.0222987643,720511.0394007917,41158.7685741031
Ak2,240730.76036325019,227320.9517253825,828572.9574811708,93406.00143122723,33688.854815560255,229652.4335862574
Ak3,36369.59689935913,490132.7400293338,404285.20432640816,461244.2026252864,231673.4233071131,214209.8091463213
Akap1,13809.244774260877,20864.0809683376,34876.08690747053,15628.736514321467,27063.787662565766,14467.582595196234
Akap13,926.7907005166321,801.446174787873,1417.6858483614176,1065.7649491251414,1484.759786204557,1123.8837048036632
Akap7,7612.715599210198,11118.966953330902,23257.428347104407,48837.96197190404,43493.02933607506,30994.085793979284
Akap8,15949.249306341144,8830.737058623175,10570.4897677728,8196.26716167431,2857.7530488673897,8315.007800378986
Akap9,332.40468533592815,5938.322245503497,195.6825266029671,277.9895873594642,8087.537470056542,1306.3883982218053
Akr1a1,169205.6788473319,208565.5878701001,183238.36139745888,275728.9526540792,112615.22905077956,387859.20394931757
Akr1b7,135559.29245996478,215626.4693177293,239984.98841277228,241013.09493711047,208405.4453664956,196648.74718782387
Akr1c13,42097.50700899021,52874.58300489572,93349.48110979356,173084.92743872403,29378.347710044847,61570.03844721756
Alad,79573.44573517519,42037.6872466967,97898.30633250746,76938.26162669763,15719.874008497338,43017.56466348839
Alb,17850.25338154067,321452.78138848516,205975.1888167033,231044.32187849112,180065.313544777,358480.1735228547
Alcam,35322.186810016756,19959.494213946135,24944.156841328208,32379.78762767593,37194.1983291954,29554.313876578348
Aldh16a1,44807.67963469668,118866.58620267951,168019.2687801811,81896.17671475802,134796.35901027767,51872.86546297399
Aldh18a1,67118.41115433349,255043.79292780222,153070.4630179683,87769.95413877086,102886.2919626338,131664.4234828406
Aldh1a1,21722.2902023785,30149.563388285693,35509.8455090381,85010.04387648156,64059.854420739786,112030.02914092937
Aldh1a7,3698.8854241497697,5402.511660825154,14859.896307999696,13192.43888793952,18115.955283210715,25030.71060803255
Aldh1b1,196469.7727415368,932807.7504293948,766323.100294578,1125249.8044273753,557815.84531426,742499.3592710063
Aldh1l1,61774.12463302973,57969.894436908675,98054.35508851099,125668.66959346633,131566.74942439704,176307.0629270183
Aldh3a2,53927.67947882413,104739.24159916572,94695.76871191956,35362.47025038658,53113.82296919794,84903.8443400552
Aldh3b1,1157.5481515087288,993.3258760361501,2838.0921755075524,8905.275348476509,2400.3243373679934,7060.240146203401
Aldh5a1,19353.409844072034,28392.102651152098,36600.66100665661,29262.414406344655,41375.494620180725,18742.92098566317
Aldh6a1,5499.796458731605,32949.599698273945,28987.825022119992,42833.52693528735,27752.224641654324,29965.313108465754
Aldh9a1,116695.44868421226,148585.01615267576,184235.36054866447,399602.99893174396,412515.07208157185,443681.851487672
Aldoa,284802.25544259197,75199.68012238223,552666.3363568956,181211.76280344574,225649.2055378869,121204.01454245429
Aldob,1285442.1688749339,4261487.755252505,5855056.850213979,5383346.101809682,2590179.8719737194,4270810.563249282
Alg2,11316.380297334164,19745.933937419995,7992.473840239915,9795.980060500258,15535.529161001596,9295.71564396047
Alyref,109383.51384983474,115882.3582110476,59371.99241026161,88761.03262700315,54714.98480635957,31764.010472153874
Amacr,11286.349467186636,10531.599474215946,26785.62092860734,15265.95209132445,10376.370390168078,16262.71006501244
Amdhd2,14058.689605572432,26451.344076993275,6634.840145873242,18236.892066242443,24607.61372167828,33742.859316761234
Amfr,6136.071087891395,8426.34661274942,4995.110759545821,7446.936353373268,4481.907169942361,3934.992905812427
Amot,3810.0120167037317,9683.483377892522,14000.875744730229,4457.001517138256,3541.8389701207843,4942.222186198127
Angel2,469.4440335474486,927.3318062084402,739.930174964903,753.5521203959698,3809.965708382552,4254.72931092938
Ank3,2643.305790976855,2646.2811935910004,1884.3206136982608,3317.6385938723843,3067.5423042589177,5202.525184033184
Ankfy1,2990.946371666612,4793.552564488514,4624.1105206853435,3610.4744813814877,1927.342804929101,7229.699674238259
Ankrd17,1350.2222953285054,1269.5879141434548,1261.5414885396194,1678.549795198143,927.8049033120659,939.2868180266981
Anks4b,82092.31912251569,235581.75508497845,213606.34444105404,147548.7953210386,110773.83706606616,189423.16881751636
Ano10,4468.567780218374,3216.0832615881527,5358.068283161237,13708.783961448496,13323.397336577873,15531.208068498345
Ano6,6328.639546474736,19492.29254379863,16592.51829226615,39128.62407672251,24807.65055854432,26909.70795338502
Anp32a,35382.52573088911,69788.336606622,216944.97212648054,16188.837488621562,178960.6083790109,129479.40782713804
Anp32b,74913.80658962764,85258.59758878239,49280.30550192367,32318.608328830105,35208.678731546956,25237.93333238048
Anp32e,39011.33657729987,33811.703187932646,30595.41627335609,26777.075319708783,29376.09162421665,31109.700401445192
Anpep,229756.91058417995,1419707.240287146,1164327.4232279283,489257.13167323294,1008563.868734097,714028.332760234
Anxa11,64367.932423000406,29485.257847953173,76388.38706260426,48237.49196401092,36570.85598404644,78643.33428429514
Anxa13,142046.42535166585,376723.29385545384,372819.6667569853,486506.3218807843,407436.8745648299,495933.3278739843
Anxa2,453938.1329997624,601416.1258924216,1040799.3068961947,1488200.1676974704,1279572.0276368845,2217795.5195195386
Anxa4,260636.75231655655,1068561.3570051824,813851.9330258506,870163.9064658454,1056903.2961695911,1497041.0391913285
Anxa7,96756.77556993146,10742.237102669618,28158.832653315414,24998.029578751106,32964.10143662163,12608.149819021628
Aoc1,33611.81612844763,64757.71781920194,58111.172349948174,9645.172558918028,33809.79790375728,24679.66329279682
Ap1b1,18793.769234963456,59371.376589679436,59869.27511135457,30710.570613252567,52682.32317593384,73273.71719364329
Ap1g1,14333.765948793465,34125.64888262067,15770.126086117518,9385.771165755952,16298.00284969409,25004.756816015706
Ap1g2,8884.68402158102,14366.541985391752,43950.98209418399,22741.651839599897,15262.680981160593,21206.7252972326
Ap1m2,5919.9966742029455,46282.645351144616,36435.22756781111,24087.97713510716,5840.646451670801,14286.971106918778
Ap1s1,139286.57695915288,96667.71804943588,88112.7867927391,17167.599784031416,70620.56372628023,85046.15469183633
Ap2a1,11070.526332633986,10826.959921015688,18035.64933145966,15831.26800798419,17754.386800846085,16003.124553594353
Ap2a2,4649.746112834048,72773.81112038826,67692.46603305584,30900.600235357862,42936.413231943916,41853.79582275886
Ap2b1,33536.875401583726,56476.3867856248,49399.084551928834,26332.315997260637,37633.62711106536,53175.158817407326
Ap2m1,34440.94064414501,52441.51579859101,35670.63723394805,82712.09019057965,58360.65651920392,43740.464435589674
Ap2s1,6801.807957091739,18249.85779343353,17407.512934670387,40584.7506698738,27482.091103600058,25435.198513846517
Ap3b1,6465.321939616709,8598.930513526104,18732.66692052892,12607.130627769351,15172.159750951423,6673.81714393496
Ap3d1,5840.425033019453,3769.869586077073,3822.1456665926476,5496.464155586065,7032.952279035899,8121.18876051909
Ap3m1,5235.100418116163,1538.3338988414462,2057.9753182220225,3454.913081691314,1995.5364750720978,9669.44078536185
Ap3s1,8323.3351469147,5205.747875165971,10383.533676713056,11191.1077518778,4580.931860378318,6717.313412701428
Apaf1,7679.549654961562,5767.256096563281,10521.338306570897,4493.346174284016,2072.9125329878434,1798.3154271303738
Apeh,10735.492740541335,41133.40042857089,80192.79140411,62163.70148508695,53736.99578356893,90977.34398561243
Apex1,98386.50513741853,95412.16353125364,59190.538748523504,43383.12171604716,40252.871324595224,51807.50837526859
Api5,75003.15503858641,18192.106500142952,52748.946661654976,36170.37053795853,19287.132805300673,17848.26725592612
Apmap,16534.69020672155,30478.03358408981,18728.87855784261,24555.605149741335,31574.316186084216,32013.195965263876
Apoa1,138430.4613634289,283286.06786282687,278814.88031597156,520940.77180913935,924910.6483781525,1279481.9590853406
Apoa1bp,43397.59180832451,57850.403169071484,13008.944935881844,11921.669373888164,7472.711907975884,6416.350714610664
Apoa4,319942.6608258827,443398.77240489866,1272075.0394106864,1083280.540342208,1262658.4925315082,711665.9596866608
Apob,15591.64378554319,40716.21078394754,36534.144897458995,23396.62301666717,26166.93164204042,18968.09925289649
Apoc3,25237.840967558517,33172.46883292795,46253.63676944911,26624.937726846285,89321.42406035095,89174.44748021112
Apoe,49067.5906860805,31909.369809579075,12749.055396058662,20207.98759690054,14183.99383626335,16894.137012268868
Apoo,45365.45305343908,69288.18790657644,84692.23640914871,86397.10777617332,39430.80779716477,174465.68518907903
Apool,28054.2190241449,87290.20835795539,96071.75453262424,56976.23084903841,116126.98791900002,53559.286745357545
App,3091.8691833871158,3136.622124745548,7865.521086106813,4138.604103170209,4192.670851911773,2035.6565603382787
Aprt,44451.44874632554,47833.137933714796,177142.31508000652,83984.96148650213,91909.29491504833,106324.61868326708
Aqp1,44012.58050357994,79947.45072209324,95142.80860038495,108438.66313095717,164345.64361733102,165777.07784649276
Aqr,2515.8599028943586,2699.569756731347,2921.7898592123797,2603.107417263214,3007.903282982401,2275.4687699797605
Araf,10745.97115803221,12691.666591391753,12151.976247021417,13842.438947943083,13840.964538459026,13387.042923775509
Arcn1,46053.479177357956,72556.28520747047,115611.5274886114,134437.50953618946,86818.86220081139,66023.48021506834
Arf1,390832.37017072487,169788.02264245346,622743.2353672596,254911.89103312476,191466.74409340828,387207.1684674682
Arf4,243032.6997241318,263837.08909661596,463359.88758874167,316468.02189685614,123976.09828621558,386966.3919847589
Arf5,152141.53481897747,153320.75221856663,311977.5777449238,279800.94266849844,290798.16140070773,319542.49121351773
Arf6,15739.2074394796,45049.87519430776,90614.99076824478,45338.45415814004,34368.6567617061,44798.56083323517
Arfgap1,3203.005832805349,8725.59259556247,12521.053310513988,18359.819941774156,16804.911318976516,5129.675641465719
Arfgap2,13185.013949974598,12409.611349348463,9031.278937391191,9286.62105016221,8848.673497945127,9127.594379566453
Arfgap3,54707.60797340466,96897.58492012486,32512.452239409744,68150.44307672486,35621.99491377543,52195.56749267092
Arfgef1,2905.3149811293806,1107.8988637647253,1672.9805851071408,2397.871268597631,1513.7938956905648,3664.6603046184887
