,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep1.0,10094.717216575802,35346.61674077912,34466.34063359633,27374.379452297595,19051.989875784315,10523.186440538098
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep10.0,10694.232319676757,34010.656177348195,37021.029328109515,27173.28976569792,19535.59980463243,12772.375080261394
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep100.0,9083.323717029547,34356.51575277513,35619.281473561154,26712.738062207492,17079.216466434005,11012.42073931532
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep11.0,9993.716852664884,31665.217699018347,32081.618311824484,27746.73799140725,17403.701499479168,10211.7953022427
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep12.0,9222.494906198128,33622.04785964599,35012.61366916145,23808.139188562724,17983.547209841363,9468.867666784134
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep13.0,9840.635295615837,34356.657061559556,31416.60517722591,24379.81233673691,20311.15231945497,11137.60212803001
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep14.0,10164.738469586833,34831.19961170945,31907.564156474335,28148.317989741434,18299.079729158708,10555.608960617197
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep15.0,10294.88950049878,31660.22016531429,33312.86376849857,26864.914008879794,19189.817906078653,11749.135467526621
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep16.0,10164.713993003334,26972.16706008491,34779.26415389098,24194.90116433918,19414.13873274876,11300.212935415962
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep17.0,9761.522003725699,35168.37419003228,32229.21887296393,27334.391299873616,18570.721053815403,10942.441809407297
