,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep1.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep10.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep100.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep11.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep12.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep13.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep14.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep15.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep16.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep17.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep18.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep19.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep2.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep20.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep21.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep22.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep23.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep24.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep25.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep26.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep27.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep28.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep29.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep3.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep30.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep31.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep32.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep33.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep34.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep35.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep36.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep37.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep38.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep39.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep4.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep40.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep41.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep42.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep43.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep44.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep45.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep46.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep47.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep48.0,10000.0,33379.946844012346,34618.72066842736,27635.928372193743,18615.994537662937,10830.681350665925
