,V1,V2,V3,V4,V5,V6
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep1.0,531.310321971642,937.8595677779238,1824.7040395777228,1305.6747089883127,1298.6009493383483,407.2781525709824
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep10.0,497.97306200077026,1632.6488815048547,1802.1734619705821,1125.36284064152,946.1441143810405,530.046540440321
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep100.0,461.6130052347607,1944.1069513044308,1498.5469737275218,1357.4067898794258,980.6412163343416,597.9771716084944
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep11.0,562.1256611788211,1726.2679334629947,1152.8669784166477,1256.3037915199716,981.8253193194305,725.8743014532697
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep12.0,436.3771495175255,3347.378921834498,1947.0302626429082,584.0612044810573,553.2391204434934,562.2070796929063
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep13.0,417.8396128356886,1485.5163330517087,1035.60980697276,2172.7925802730447,952.5006071376965,768.9380662118957
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep14.0,616.1193771741176,1186.0812506060795,1618.2352106497665,1267.0995266249295,895.6990594639566,308.42697177056766
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep15.0,549.3068865235294,2530.8251807676625,728.4472929544329,1396.1143433251596,1664.8795538515224,421.5134991459462
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep16.0,914.4649663946767,2136.9988804937284,1317.7371043434455,1433.6510164678393,940.1285828691312,350.68205123470653
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep17.0,516.3868478859167,1780.251417669731,1669.6479140405074,1399.4519761816641,718.3753537567261,200.48453294440475
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep18.0,457.69582771672555,1046.940804294109,2027.961256244071,1769.2670759611847,1358.653769527124,270.4712759409587
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep19.0,557.5565793596868,1000.0945912884788,1785.634752185701,595.4527388264623,1758.6734412676249,881.4854085964924
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep2.0,779.4933476672649,1946.345759574071,1078.4339818409856,2544.595020919059,571.6160480214038,566.4390422285081
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep20.0,608.7986154889949,1112.562730605061,2850.701025725537,666.3076414892589,108.52256552987623,655.3104531452753
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep21.0,441.54890720831077,1131.9587462408006,1911.8508130989098,1775.9139168191086,984.1436221197955,800.7983076490826
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep22.0,386.78530883486417,2684.070407033739,2508.350156848255,560.1636021715416,659.0120120914215,1041.1700020363849
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep23.0,269.3057283666225,853.1421630000552,1302.8120076248522,864.3224189248602,1157.5997459730127,573.3585158762723
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep24.0,823.8789069997954,1292.9935673940774,1761.1439396785354,1180.8928201736687,1068.9576970466494,321.46255262727755
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep25.0,422.20260282884493,856.6404407985652,774.1671569101148,2826.591497184906,1039.0064583259827,482.32992252134204
bottom_peak_halflife_10.0_to_10.0_h_RSE_[0.04_0.06]_rep26.0,531.8567186278223,1902.9103428004628,968.5061886719884,732.8721062017016,857.9428130287089,952.8838780821632
